measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed,top_k
64,"(0.4, 0.3, 0.3)",64,4,0,3,10.81,192,"[0.7609, 0.3829, 0.4567]","[None, None, None]",2000,1
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.22,128,"[0.7088, 0.6631]","[None, None]",2001,1
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.45,64,[0.7988],[None],2002,1
64,"(0.4, 0.3, 0.3)",64,4,0,3,10.59,192,"[0.7705, 0.6272, 0.5206]","[None, None, None]",2003,1
64,"(0.4, 0.3, 0.3)",64,4,0,3,10.56,192,"[0.7366, 0.5059, 0.5161]","[None, None, None]",2004,1
64,"(0.4, 0.3, 0.3)",64,4,0,3,10.55,192,"[0.7421, 0.6538, 0.4628]","[None, None, None]",2005,1
64,"(0.4, 0.3, 0.3)",64,4,0,5,18.79,320,"[0.7234, 0.7435, 0.5405, 0.5385, 0.4183]","[None, None, None, None, None]",2006,1
64,"(0.4, 0.3, 0.3)",64,4,0,3,10.7,192,"[0.703, 0.7267, 0.4161]","[None, None, None]",2007,1
64,"(0.3, 0.3, 0.4)",64,4,0,3,10.59,192,"[0.7609, 0.5275, 0.4474]","[None, None, None]",2000,1
64,"(0.3, 0.3, 0.4)",64,4,0,2,6.88,128,"[0.7088, 0.6555]","[None, None]",2001,1
64,"(0.3, 0.3, 0.4)",64,4,0,1,3.32,64,[0.7988],[None],2002,1
64,"(0.3, 0.3, 0.4)",64,4,0,4,14.56,256,"[0.7705, 0.5157, 0.4647, 0.4223]","[None, None, None, None]",2003,1
64,"(0.3, 0.3, 0.4)",64,4,0,3,10.63,192,"[0.7366, 0.4663, 0.5675]","[None, None, None]",2004,1
64,"(0.3, 0.3, 0.4)",64,4,0,3,10.63,192,"[0.7421, 0.6236, 0.4497]","[None, None, None]",2005,1
64,"(0.3, 0.3, 0.4)",64,4,0,5,19.28,320,"[0.7234, 0.7088, 0.5862, 0.5244, 0.5077]","[None, None, None, None, None]",2006,1
