weights,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
"(0.5, 0.2, 0.3)",3,30.7,256,"[0.7134, 0.7243, 0.3754]","[0.8184, 0.8706, 0.864]",2023
"(0.5, 0.2, 0.3)",3,30.98,256,"[0.6896, 0.4838, 0.4178]","[0.8422, 0.8629, 0.8797]",2025
"(0.5, 0.2, 0.3)",3,30.98,256,"[0.7134, 0.5852, 0.3903]","[0.8184, 0.8687, 0.8666]",2023
