measure_size,weights,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(1.0, 0.0, 0.0)",2,0,1,10.13,64,[0.7317],[0.8537],2000
64,"(1.0, 0.0, 0.0)",2,0,3,31.49,192,"[0.7069, 0.5864, -0.1149]","[0.841, 0.8704, 0.8882]",2001
64,"(1.0, 0.0, 0.0)",2,0,5,53.94,320,"[0.7059, 0.7053, 0.2774, 0.2822, 0.2073]","[0.8639, 0.8552, 0.8718, 0.8692, 0.8821]",2002
64,"(1.0, 0.0, 0.0)",2,0,2,20.84,128,"[0.7471, 0.6611]","[0.8526, 0.8523]",2003
64,"(1.0, 0.0, 0.0)",2,0,3,31.05,192,"[0.7092, 0.4625, 0.4649]","[0.8558, 0.8497, 0.8783]",2004
