measure_size,weights,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.5, 0.2, 0.3)",2,2,1,10.03,64,[0.7317],[0.8588],2000
64,"(0.5, 0.2, 0.3)",2,2,1,10.0,64,[0.7014],[0.8377],2001
64,"(0.5, 0.2, 0.3)",2,2,3,30.81,192,"[0.7139, 0.7273, 0.5076]","[0.864, 0.8911, 0.8927]",2002
64,"(0.5, 0.2, 0.3)",2,2,4,42.07,256,"[0.666, 0.545, 0.4456, 0.3152]","[0.8354, 0.8673, 0.8843, 0.8979]",2003
64,"(0.5, 0.2, 0.3)",2,2,2,19.92,128,"[0.6857, 0.6722]","[0.8566, 0.8825]",2004
64,"(0.5, 0.2, 0.3)",2,2,3,30.33,192,"[0.7791, 0.6009, 0.5704]","[0.8414, 0.8654, 0.8784]",2005
64,"(0.5, 0.2, 0.3)",2,2,3,30.43,192,"[0.6733, 0.7414, 0.4391]","[0.8445, 0.8626, 0.8787]",2006
64,"(0.5, 0.2, 0.3)",2,2,2,19.87,128,"[0.7276, 0.6984]","[0.857, 0.8739]",2007
64,"(0.5, 0.2, 0.3)",2,2,1,9.68,64,[0.7021],[0.8428],2008
64,"(0.5, 0.2, 0.3)",2,2,2,19.93,128,"[0.7005, 0.6912]","[0.8693, 0.8811]",2009
64,"(0.4, 0.3, 0.3)",2,2,1,9.68,64,[0.7317],[0.8588],2000
64,"(0.4, 0.3, 0.3)",2,2,1,9.71,64,[0.7014],[0.8377],2001
64,"(0.4, 0.3, 0.3)",2,2,5,53.01,320,"[0.7139, 0.7572, 0.574, 0.4231, 0.2631]","[0.864, 0.8888, 0.8961, 0.8957, 0.897]",2002
64,"(0.4, 0.3, 0.3)",2,2,3,30.34,192,"[0.666, 0.6282, 0.5764]","[0.8354, 0.8628, 0.8886]",2003
64,"(0.4, 0.3, 0.3)",2,2,2,19.8,128,"[0.6857, 0.6526]","[0.8566, 0.8848]",2004
64,"(0.4, 0.3, 0.3)",2,2,3,30.4,192,"[0.7791, 0.6359, 0.4962]","[0.8414, 0.8776, 0.8801]",2005
64,"(0.4, 0.3, 0.3)",2,2,3,30.44,192,"[0.6733, 0.774, 0.4935]","[0.8445, 0.8706, 0.8753]",2006
64,"(0.4, 0.3, 0.3)",2,2,2,19.91,128,"[0.7276, 0.7324]","[0.857, 0.8715]",2007
64,"(0.4, 0.3, 0.3)",2,2,1,9.75,64,[0.7021],[0.8428],2008
64,"(0.4, 0.3, 0.3)",2,2,3,30.43,192,"[0.7005, 0.7169, 0.5701]","[0.8693, 0.8852, 0.8904]",2009
