use_topk,measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
False,64,"(0.3, 0.3, 0.4)",128,2,0,1,6.41,64,[0.7088],[0.8513],2001
False,64,"(0.3, 0.3, 0.4)",128,2,0,1,6.27,64,[0.7988],[0.8585],2002
False,64,"(0.3, 0.3, 0.4)",128,2,0,4,26.32,256,"[0.7705, 0.5757, 0.4741, 0.418]","[0.8615, 0.8681, 0.8859, 0.8915]",2003
False,64,"(0.3, 0.3, 0.4)",128,2,0,2,12.86,128,"[0.7366, 0.5499]","[0.8644, 0.8795]",2004
False,64,"(0.3, 0.3, 0.4)",128,2,0,2,12.7,128,"[0.7421, 0.5656]","[0.8631, 0.8696]",2005
False,64,"(0.3, 0.3, 0.4)",128,2,0,5,33.36,320,"[0.7234, 0.7068, 0.5666, 0.4279, 0.2868]","[0.8426, 0.8795, 0.8941, 0.891, 0.898]",2006
False,64,"(0.3, 0.3, 0.4)",128,2,0,3,19.34,192,"[0.703, 0.6212, 0.4538]","[0.8492, 0.8717, 0.8762]",2007
False,64,"(0.3, 0.3, 0.4)",192,2,0,4,26.22,256,"[0.7609, 0.559, 0.6031, 0.5585]","[0.8693, 0.8797, 0.8938, 0.8995]",2000
False,64,"(0.3, 0.3, 0.4)",192,2,0,1,6.24,64,[0.7088],[0.8539],2001
False,64,"(0.3, 0.3, 0.4)",192,2,0,1,6.25,64,[0.7988],[0.8573],2002
False,64,"(0.3, 0.3, 0.4)",192,2,0,4,26.37,256,"[0.7705, 0.5757, 0.6195, 0.3783]","[0.8636, 0.8696, 0.8784, 0.88]",2003
False,64,"(0.3, 0.3, 0.4)",192,2,0,2,12.77,128,"[0.7366, 0.5499]","[0.8683, 0.8755]",2004
False,64,"(0.3, 0.3, 0.4)",192,2,0,2,12.88,128,"[0.7421, 0.5656]","[0.8657, 0.8712]",2005
False,64,"(0.3, 0.3, 0.4)",192,2,0,4,26.6,256,"[0.7234, 0.7068, 0.6665, 0.5371]","[0.837, 0.876, 0.8966, 0.8994]",2006
False,64,"(0.3, 0.3, 0.4)",192,2,0,3,19.61,192,"[0.703, 0.6212, 0.4901]","[0.8549, 0.8714, 0.8948]",2007
False,64,"(0.3, 0.3, 0.4)",256,2,0,4,26.3,256,"[0.7609, 0.559, 0.6031, 0.5131]","[0.8667, 0.8784, 0.8949, 0.9007]",2000
False,64,"(0.3, 0.3, 0.4)",256,2,0,1,6.26,64,[0.7088],[0.8494],2001
False,64,"(0.3, 0.3, 0.4)",256,2,0,1,6.24,64,[0.7988],[0.8617],2002
False,64,"(0.3, 0.3, 0.4)",256,2,0,4,26.23,256,"[0.7705, 0.5757, 0.6195, 0.5059]","[0.8674, 0.8712, 0.8813, 0.8959]",2003
False,64,"(0.3, 0.3, 0.4)",256,2,0,2,12.71,128,"[0.7366, 0.5499]","[0.8626, 0.8763]",2004
False,64,"(0.3, 0.3, 0.4)",256,2,0,2,12.85,128,"[0.7421, 0.5656]","[0.8653, 0.8699]",2005
False,64,"(0.3, 0.3, 0.4)",256,2,0,4,26.58,256,"[0.7234, 0.7068, 0.6665, 0.561]","[0.8414, 0.8767, 0.893, 0.9049]",2006
False,64,"(0.3, 0.3, 0.4)",256,2,0,4,26.36,256,"[0.703, 0.6212, 0.4901, 0.4706]","[0.8532, 0.8729, 0.8935, 0.9081]",2007
False,64,"(0.5, 0.2, 0.3)",64,2,0,2,12.73,128,"[0.7609, 0.4933]","[0.8735, 0.8564]",2000
False,64,"(0.5, 0.2, 0.3)",64,2,0,1,6.31,64,[0.7088],[0.8511],2001
False,64,"(0.5, 0.2, 0.3)",64,2,0,1,6.26,64,[0.7988],[0.865],2002
False,64,"(0.5, 0.2, 0.3)",64,2,0,2,12.9,128,"[0.7705, 0.6277]","[0.8645, 0.8645]",2003
False,64,"(0.5, 0.2, 0.3)",64,2,0,2,12.74,128,"[0.7366, 0.5233]","[0.8632, 0.8753]",2004
False,64,"(0.5, 0.2, 0.3)",64,2,0,2,12.82,128,"[0.7421, 0.5943]","[0.865, 0.8761]",2005
False,64,"(0.5, 0.2, 0.3)",64,2,0,3,19.45,192,"[0.7234, 0.7319, 0.4834]","[0.8375, 0.8643, 0.8822]",2006
False,64,"(0.5, 0.2, 0.3)",64,2,0,4,26.23,256,"[0.703, 0.7576, 0.4413, 0.2355]","[0.8546, 0.868, 0.8756, 0.8898]",2007
False,64,"(0.5, 0.2, 0.3)",128,2,0,2,12.69,128,"[0.7609, 0.5192]","[0.8702, 0.8765]",2000
False,64,"(0.5, 0.2, 0.3)",128,2,0,1,6.25,64,[0.7088],[0.8536],2001
False,64,"(0.5, 0.2, 0.3)",128,2,0,1,6.24,64,[0.7988],[0.8624],2002
False,64,"(0.5, 0.2, 0.3)",128,2,0,2,12.79,128,"[0.7705, 0.5879]","[0.8623, 0.8625]",2003
False,64,"(0.5, 0.2, 0.3)",128,2,0,2,13.01,128,"[0.7366, 0.4812]","[0.8662, 0.8678]",2004
False,64,"(0.5, 0.2, 0.3)",128,2,0,2,12.93,128,"[0.7421, 0.6015]","[0.8645, 0.8784]",2005
False,64,"(0.5, 0.2, 0.3)",128,2,0,4,27.28,256,"[0.7234, 0.7017, 0.5444, 0.4336]","[0.839, 0.8729, 0.8895, 0.8944]",2006
False,64,"(0.5, 0.2, 0.3)",128,2,0,4,27.27,256,"[0.703, 0.7008, 0.3171, 0.3268]","[0.8539, 0.8637, 0.8741, 0.8949]",2007
False,64,"(0.5, 0.2, 0.3)",192,2,0,2,12.8,128,"[0.7609, 0.5192]","[0.8747, 0.8743]",2000
False,64,"(0.5, 0.2, 0.3)",192,2,0,1,6.75,64,[0.7088],[0.8512],2001
False,64,"(0.5, 0.2, 0.3)",192,2,0,1,6.62,64,[0.7988],[0.8614],2002
False,64,"(0.5, 0.2, 0.3)",192,2,0,3,19.69,192,"[0.7705, 0.5879, 0.4527]","[0.8626, 0.8576, 0.8778]",2003
False,64,"(0.5, 0.2, 0.3)",192,2,0,2,13.3,128,"[0.7366, 0.4812]","[0.8651, 0.8727]",2004
False,64,"(0.5, 0.2, 0.3)",192,2,0,2,13.26,128,"[0.7421, 0.6015]","[0.8643, 0.8808]",2005
False,64,"(0.5, 0.2, 0.3)",192,2,0,6,41.21,384,"[0.7234, 0.7017, 0.615, 0.541, 0.3375, -0.0259]","[0.8351, 0.8721, 0.8909, 0.8898, 0.8915, 0.8917]",2006
False,64,"(0.5, 0.2, 0.3)",192,2,0,4,26.33,256,"[0.703, 0.7008, 0.4431, 0.385]","[0.8526, 0.8613, 0.883, 0.8884]",2007
False,64,"(0.5, 0.2, 0.3)",256,2,0,2,12.7,128,"[0.7609, 0.5192]","[0.864, 0.8757]",2000
False,64,"(0.5, 0.2, 0.3)",256,2,0,1,6.24,64,[0.7088],[0.8493],2001
False,64,"(0.5, 0.2, 0.3)",256,2,0,1,6.25,64,[0.7988],[0.8631],2002
False,64,"(0.5, 0.2, 0.3)",256,2,0,3,19.66,192,"[0.7705, 0.5879, 0.4527]","[0.8622, 0.8663, 0.8764]",2003
False,64,"(0.5, 0.2, 0.3)",256,2,0,2,12.72,128,"[0.7366, 0.4812]","[0.8655, 0.8674]",2004
False,64,"(0.5, 0.2, 0.3)",256,2,0,2,12.7,128,"[0.7421, 0.6015]","[0.8655, 0.8804]",2005
False,64,"(0.5, 0.2, 0.3)",256,2,0,6,40.57,384,"[0.7234, 0.7017, 0.615, 0.5709, 0.3272, 0.3841]","[0.8476, 0.8767, 0.8894, 0.8934, 0.8999, 0.8979]",2006
False,64,"(0.5, 0.2, 0.3)",256,2,0,4,26.41,256,"[0.703, 0.7008, 0.4431, 0.452]","[0.8502, 0.8614, 0.8812, 0.8906]",2007
