measure_size,weights,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.5, 0.2, 0.3)",2,0,1,9.49,64,[0.7079],[0.8524],2000
64,"(0.5, 0.2, 0.3)",2,0,3,30.06,192,"[0.6933, 0.5291, 0.2849]","[0.8419, 0.8694, 0.8839]",2001
64,"(0.5, 0.2, 0.3)",2,0,4,41.04,256,"[0.6667, 0.7046, 0.5821, 0.3573]","[0.8554, 0.8564, 0.8902, 0.892]",2002
64,"(0.5, 0.2, 0.3)",2,0,3,30.22,192,"[0.7224, 0.5368, 0.6333]","[0.8484, 0.8788, 0.8993]",2003
64,"(0.5, 0.2, 0.3)",2,0,2,19.66,128,"[0.7041, 0.5476]","[0.8576, 0.865]",2004
