measure_size,weights,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.5, 0.2, 0.3)",2,0,4,42.91,256,"[-0.0527, -0.453, -1.0932, -1.6154]","[0.8398, 0.8831, 0.8886, 0.9003]",2000
64,"(0.5, 0.2, 0.3)",2,0,3,32.73,192,"[-0.123, -0.8715, -1.1082]","[0.8449, 0.8855, 0.9025]",2001
64,"(0.5, 0.2, 0.3)",2,0,4,42.48,256,"[-0.3971, -0.7152, -1.2373, -1.6004]","[0.8407, 0.8908, 0.9007, 0.9051]",2002
64,"(0.5, 0.2, 0.3)",2,0,3,31.0,192,"[-0.0488, -0.3982, -0.9328]","[0.8344, 0.8901, 0.9022]",2003
64,"(0.5, 0.2, 0.3)",2,0,6,66.85,384,"[-0.4513, -0.8961, -1.2897, -1.434, -2.041, -2.4303]","[0.8633, 0.8868, 0.8922, 0.8992, 0.9073, 0.9096]",2004
