measure_size,weights,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.7, 0.0, 0.3)",2,0,1,10.09,64,[0.7079],[0.8524],2000
64,"(0.7, 0.0, 0.3)",2,0,2,20.43,128,"[0.6933, 0.6476]","[0.8419, 0.8722]",2001
64,"(0.7, 0.0, 0.3)",2,0,4,42.56,256,"[0.6667, 0.6988, 0.4444, 0.3362]","[0.8554, 0.8596, 0.8831, 0.8862]",2002
64,"(0.7, 0.0, 0.3)",2,0,2,20.96,128,"[0.7224, 0.5386]","[0.8484, 0.8723]",2003
64,"(0.7, 0.0, 0.3)",2,0,1,10.08,64,[0.7041],[0.8576],2004
64,"(0.7, 0.3, 0.0)",2,0,1,9.93,64,[0.7079],[0.8524],2000
64,"(0.7, 0.3, 0.0)",2,0,2,20.3,128,"[0.6933, 0.6005]","[0.8419, 0.8679]",2001
64,"(0.7, 0.3, 0.0)",2,0,4,42.62,256,"[0.6667, 0.7366, 0.3834, 0.2227]","[0.8554, 0.8634, 0.8763, 0.8794]",2002
64,"(0.7, 0.3, 0.0)",2,0,6,66.49,384,"[0.7224, 0.3968, 0.4294, 0.1715, 0.1977, 0.1653]","[0.8484, 0.8544, 0.8757, 0.8911, 0.8982, 0.9041]",2003
64,"(0.7, 0.3, 0.0)",2,0,2,20.33,128,"[0.7041, 0.3847]","[0.8576, 0.8483]",2004
