weights,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
"(0.3, 0.0, 0.7)",4,42.65,256,"[0.7134, 0.6951, 0.4022, 0.3625]","[0.8184, 0.8754, 0.8683, 0.8835]",2023
"(0.3, 0.0, 0.7)",2,19.99,128,"[0.7082, 0.6937]","[0.8558, 0.8805]",2024
"(0.3, 0.1, 0.6)",3,30.63,192,"[0.7134, 0.656, 0.5278]","[0.8184, 0.8687, 0.8689]",2023
"(0.3, 0.1, 0.6)",2,20.14,128,"[0.7082, 0.7258]","[0.8558, 0.8744]",2024
"(0.3, 0.2, 0.5)",3,31.19,192,"[0.7134, 0.5041, 0.4612]","[0.8184, 0.8676, 0.8753]",2023
"(0.3, 0.2, 0.5)",2,20.33,128,"[0.7082, 0.7058]","[0.8558, 0.8826]",2024
