measure_size,weights,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.5, 0.2, 0.3)",0,0,2,20.14,128,"[0.7134, 0.668]","[0.8184, 0.8623]",2023
64,"(0.5, 0.2, 0.3)",0,0,5,53.89,320,"[0.6896, 0.5418, 0.4734, 0.2681, -0.0493]","[0.8422, 0.8569, 0.8767, 0.8832, 0.8801]",2025
64,"(0.5, 0.2, 0.3)",2,0,2,20.25,128,"[0.7134, 0.7243]","[0.8184, 0.8706]",2023
64,"(0.5, 0.2, 0.3)",2,0,2,20.15,128,"[0.6896, 0.4838]","[0.8422, 0.8629]",2025
64,"(0.5, 0.2, 0.3)",4,0,2,19.93,128,"[0.7134, 0.6946]","[0.8184, 0.8725]",2023
64,"(0.5, 0.2, 0.3)",4,0,3,30.86,192,"[0.6896, 0.54, 0.3976]","[0.8422, 0.8629, 0.8851]",2025
64,"(0.5, 0.2, 0.3)",0,0,2,19.92,128,"[0.7134, 0.668]","[0.8184, 0.8623]",2023
64,"(0.5, 0.2, 0.3)",0,0,5,53.64,320,"[0.6896, 0.5418, 0.4734, 0.2681, -0.0493]","[0.8422, 0.8569, 0.8767, 0.8832, 0.8801]",2025
64,"(0.5, 0.2, 0.3)",2,0,2,20.36,128,"[0.7134, 0.7243]","[0.8184, 0.8706]",2023
64,"(0.5, 0.2, 0.3)",2,0,2,20.32,128,"[0.6896, 0.4838]","[0.8422, 0.8629]",2025
64,"(0.5, 0.2, 0.3)",4,0,2,20.02,128,"[0.7134, 0.6946]","[0.8184, 0.8725]",2023
64,"(0.5, 0.2, 0.3)",4,0,3,30.56,192,"[0.6896, 0.54, 0.3976]","[0.8422, 0.8629, 0.8851]",2025
64,"(0.3, 0.35, 0.35)",0,0,2,19.98,128,"[0.7134, 0.6681]","[0.8184, 0.8617]",2023
64,"(0.3, 0.35, 0.35)",0,0,4,41.98,256,"[0.6896, 0.5562, 0.4779, 0.1746]","[0.8422, 0.8637, 0.8735, 0.8799]",2025
64,"(0.3, 0.35, 0.35)",2,0,2,20.54,128,"[0.7134, 0.503]","[0.8184, 0.8611]",2023
64,"(0.3, 0.35, 0.35)",2,0,5,54.71,320,"[0.6896, 0.5562, 0.4893, 0.2865, 0.0148]","[0.8422, 0.8637, 0.8796, 0.8834, 0.8869]",2025
64,"(0.3, 0.35, 0.35)",4,0,2,20.53,128,"[0.7134, 0.645]","[0.8184, 0.8767]",2023
64,"(0.3, 0.35, 0.35)",4,0,4,42.7,256,"[0.6896, 0.4604, 0.3641, 0.3328]","[0.8422, 0.8563, 0.8755, 0.8881]",2025
