weights,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
"(0.5, 0.2, 0.3)",3,31.6,192,"[0.6896, 0.4838, 0.4178]","[0.8422, 0.8629, 0.8797]",2025
"(0.5, 0.3, 0.2)",3,31.44,192,"[0.7134, 0.5556, 0.3275]","[0.8184, 0.8654, 0.8713]",2023
"(0.5, 0.3, 0.2)",4,42.29,256,"[0.6896, 0.4173, 0.3583, 0.1902]","[0.8422, 0.8589, 0.8743, 0.8849]",2025
"(0.5, 0.4, 0.1)",3,30.91,192,"[0.7134, 0.5549, 0.3005]","[0.8184, 0.8678, 0.8601]",2023
"(0.5, 0.4, 0.1)",5,53.96,320,"[0.6896, 0.4692, 0.4108, 0.0855, -0.0307]","[0.8422, 0.857, 0.8744, 0.8838, 0.8843]",2025
"(0.5, 0.5, 0.0)",3,30.84,192,"[0.7134, 0.7164, 0.4578]","[0.8184, 0.864, 0.8727]",2023
"(0.5, 0.5, 0.0)",6,66.52,384,"[0.6896, 0.3432, 0.2509, 0.1541, 0.0016, -0.0931]","[0.8422, 0.8577, 0.875, 0.8854, 0.8844, 0.8821]",2025
"(0.6, 0.0, 0.4)",4,42.85,256,"[0.7134, 0.6273, 0.3903, 0.1192]","[0.8184, 0.8699, 0.8727, 0.8711]",2023
"(0.6, 0.0, 0.4)",4,42.25,256,"[0.6896, 0.5242, 0.3905, 0.1695]","[0.8422, 0.856, 0.8761, 0.8848]",2025
"(0.6, 0.1, 0.3)",3,30.54,192,"[0.7134, 0.596, 0.3868]","[0.8184, 0.866, 0.8653]",2023
"(0.6, 0.1, 0.3)",4,41.69,256,"[0.6896, 0.5298, 0.3911, 0.2329]","[0.8422, 0.8574, 0.8728, 0.8799]",2025
"(0.6, 0.2, 0.2)",4,41.7,256,"[0.7134, 0.7035, 0.2943, 0.3002]","[0.8184, 0.8691, 0.8665, 0.8797]",2023
"(0.6, 0.2, 0.2)",4,42.33,256,"[0.6896, 0.4417, 0.4076, 0.3038]","[0.8422, 0.8566, 0.8713, 0.8809]",2025
