,measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,sampling_seed,rank_warmup_epochs,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2
0,64,False,False,1e-05,0.001,"(0.7, 0.0, 0.3)",2000,0,2,0,4,14.61,256,0,"[0.6117, 0.729, 0.7699, 0.7419]","[None, None, None, None]"
1,64,False,False,1e-05,0.001,"(0.7, 0.0, 0.3)",2001,0,2,0,1,3.21,64,0,[0.6093],[None]
2,64,False,False,1e-05,0.001,"(0.7, 0.0, 0.3)",2002,0,2,0,2,6.67,128,0,"[0.6688, 0.6954]","[None, None]"
3,64,False,False,1e-05,0.001,"(0.7, 0.0, 0.3)",2003,0,2,0,2,6.92,128,0,"[0.6298, 0.7242]","[None, None]"
