,measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,sampling_seed,rank_warmup_epochs,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2
33,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2013,0,2,0,7,25.64,336,0,"[0.5917, 0.7042, 0.7135, 0.6901, 0.7453, 0.7559, 0.7568]","[None, None, None, None, None, None, None]"
34,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2014,0,2,0,2,6.45,96,0,"[0.6131, 0.5528]","[None, None]"
35,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2015,0,2,0,1,3.15,48,0,[0.6126],[None]
36,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2016,0,2,0,5,17.32,240,0,"[0.6984, 0.7071, 0.6876, 0.671, 0.6531]","[None, None, None, None, None]"
37,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2017,0,2,0,3,10.23,144,0,"[0.5708, 0.7353, 0.7308]","[None, None, None]"
38,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2018,0,2,0,1,3.26,48,0,[0.5823],[None]
39,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2019,0,2,0,3,9.96,144,0,"[0.5641, 0.6851, 0.7565]","[None, None, None]"
40,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2000,0,2,0,4,13.39,192,0,"[0.7102, 0.7481, 0.744, 0.7063]","[None, None, None, None]"
41,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2001,0,2,0,8,29.15,384,0,"[0.569, 0.6954, 0.7138, 0.7669, 0.7522, 0.7484, 0.764, 0.7512]","[None, None, None, None, None, None, None, None]"
42,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2002,0,2,0,3,10.11,144,0,"[0.688, 0.6996, 0.7211]","[None, None, None]"
43,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2003,0,2,0,3,10.23,144,0,"[0.6384, 0.6388, 0.7008]","[None, None, None]"
44,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2004,0,2,0,3,10.23,144,0,"[0.6579, 0.6616, 0.7114]","[None, None, None]"
45,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2005,0,2,0,2,6.73,96,0,"[0.5983, 0.6582]","[None, None]"
46,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2006,0,2,0,4,13.7,192,0,"[0.6139, 0.6795, 0.7031, 0.7135]","[None, None, None, None]"
47,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2007,0,2,0,5,17.52,240,0,"[0.6239, 0.6945, 0.6739, 0.681, 0.6911]","[None, None, None, None, None]"
48,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2008,0,2,0,7,25.64,336,0,"[0.4539, 0.6664, 0.7368, 0.7416, 0.739, 0.7246, 0.7182]","[None, None, None, None, None, None, None]"
49,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2009,0,2,0,6,21.51,288,0,"[0.6799, 0.6668, 0.6988, 0.725, 0.7314, 0.7276]","[None, None, None, None, None, None]"
50,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2010,0,2,0,5,17.71,240,0,"[0.6737, 0.7197, 0.7238, 0.7137, 0.6522]","[None, None, None, None, None]"
