measure_size,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
32,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,40,305.08,1280,0,"[0.3615, 0.3307, 0.2329, 0.1628, 0.2248, 0.2085, 0.1436, 0.1193, 0.1372, 0.0945, -0.023, -0.0298, -0.1214, -0.2065, -0.2118, -0.2919, -0.0166, -0.0632, 0.166, 0.0268, -0.1328, -0.3135, -0.4423, -0.5408, -0.559, -0.5647, -0.6279, -0.6391, -0.6093, -0.644, -0.6837, -0.681, -0.4557, -0.5312, -0.5654, -0.5887, -0.6081, -0.5651, -0.4805, 0.1312]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",2002
32,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,2,6.52,64,1,"[0.5337, 0.2835]","[None, None]",2003
32,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,1,3.22,32,0,[0.5013],[None],2004
32,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,2,6.54,64,0,"[0.4533, 0.1764]","[None, None]",2005
32,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,2,6.53,64,0,"[0.593, 0.2873]","[None, None]",2006
32,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,1,3.23,32,0,[0.4506],[None],2007
32,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,1,3.22,32,0,[0.2749],[None],2008
32,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,2,6.53,64,0,"[0.5421, 0.3437]","[None, None]",2009
32,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,2,6.4,64,1,"[0.5156, 0.3335]","[None, None]",2010
32,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,2,6.4,64,0,"[0.4355, 0.0832]","[None, None]",2011
32,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,2,6.52,64,1,"[0.562, 0.3801]","[None, None]",2012
32,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,1,3.21,32,0,[0.4303],[None],2013
32,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,2,6.52,64,0,"[0.3605, 0.3262]","[None, None]",2014
32,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,3,9.98,96,0,"[0.5774, 0.3345, 0.1781]","[None, None, None]",2015
32,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,1,3.21,32,0,[0.4616],[None],2016
32,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,1,3.22,32,0,[0.471],[None],2017
32,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,28,164.32,896,0,"[0.491, 0.3195, 0.2626, 0.2584, 0.2334, 0.2565, 0.1593, 0.1682, 0.1719, 0.1402, 0.0962, 0.074, 0.0169, -0.043, -0.1115, -0.1482, 0.0097, 0.0992, 0.0914, 0.0327, 0.0481, 0.029, -0.1119, -0.146, -0.1968, -0.1566, -0.0826, 0.1626]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",2018
32,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",0,2,0,2,6.52,64,0,"[0.4777, 0.4172]","[None, None]",2019
32,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,1,3.22,32,0,[0.4735],[None],2000
32,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,38,277.56,1216,0,"[0.5799, 0.1666, 0.2277, 0.1028, 0.1508, 0.0558, -0.0266, -0.0651, -0.1481, -0.2285, -0.328, -0.3369, -0.5241, -0.6381, -0.6481, -0.726, -0.3874, -0.4075, -0.3736, -0.4023, -0.4911, -0.5037, -0.6121, -0.5835, -0.5814, -0.6477, -0.6778, -0.6864, -0.6714, -0.6568, -0.6598, -0.6401, -0.5371, -0.6016, -0.6501, -0.5862, -0.5572, 0.1137]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",2001
32,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,21,103.39,672,0,"[0.4373, 0.3819, 0.2099, 0.184, 0.1582, 0.1618, 0.1739, 0.1524, 0.1728, 0.1351, 0.1046, 0.0707, -0.0085, -0.0374, -0.0911, -0.2344, 0.0316, 0.0317, 0.3014, 0.3202, 0.3785]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",2002
32,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,2,6.52,64,1,"[0.5473, 0.381]","[None, None]",2003
32,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,3,9.98,96,1,"[0.5202, 0.2392, 0.3595]","[None, None, None]",2004
32,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,2,6.54,64,0,"[0.4683, 0.2015]","[None, None]",2005
32,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,2,6.53,64,0,"[0.5957, 0.3538]","[None, None]",2006
32,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,2,6.53,64,1,"[0.452, 0.2847]","[None, None]",2007
32,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,1,3.22,32,0,[0.2969],[None],2008
32,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,3,9.89,96,0,"[0.5534, 0.3457, 0.3545]","[None, None, None]",2009
32,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,2,6.31,64,1,"[0.5153, 0.3519]","[None, None]",2010
32,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,2,6.31,64,0,"[0.4563, 0.2349]","[None, None]",2011
32,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,2,6.33,64,1,"[0.5638, 0.4266]","[None, None]",2012
32,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,1,3.23,32,0,[0.4507],[None],2013
32,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,2,6.42,64,0,"[0.3656, 0.3617]","[None, None]",2014
32,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,1,3.18,32,0,[0.5874],[None],2015
32,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,1,3.22,32,0,[0.49],[None],2016
32,1e-05,1e-05,200,"(0.4, 0.3, 0.3)",0,2,0,1,3.22,32,0,[0.4905],[None],2017
