epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,S,neigh_mean_test,rand_mean_test,neigh_best_mean_test,rand_best_mean_test,win_rate_mean,win_rate_best,avg_gain_mean_test,avg_gain_best_test,seed_mean_train
1000,5e-05,0.0,0.01,0.0,0.01,0.01,184.0,8.104761123657227,5.903433799743652,8.10881233215332,8.399444580078125,0.9891304347826086,0.32608695652173914,2.201327085494995,-0.2906316816806793,8.242144584655762
1000,5e-05,0.0,0.01,0.0,0.01,0.1,184.0,8.152273178100586,5.903433799743652,8.15363883972168,8.399444580078125,1.0,0.28804347826086957,2.248839855194092,-0.24580606818199158,8.242144584655762
1000,5e-05,0.0,0.01,0.0,0.01,0.2,184.0,8.1500825881958,5.903433799743652,8.153058052062988,8.399444580078125,1.0,0.29891304347826086,2.2466483116149902,-0.24638615548610687,8.242144584655762
1000,5e-05,0.0,0.01,0.0,0.1,0.0,184.0,8.140931129455566,5.903433799743652,8.14218521118164,8.399444580078125,0.9945652173913043,0.33152173913043476,2.237497091293335,-0.25725898146629333,8.242144584655762
1000,5e-05,0.0,0.01,0.0,0.1,0.01,184.0,8.118001937866211,5.903433799743652,8.130498886108398,8.399444580078125,0.9945652173913043,0.32608695652173914,2.2145676612854004,-0.2689453959465027,8.242144584655762
1000,5e-05,0.0,0.01,0.0,0.1,0.1,184.0,8.145027160644531,5.903433799743652,8.156203269958496,8.399444580078125,1.0,0.29347826086956524,2.241593837738037,-0.2432410567998886,8.242144584655762
1000,5e-05,0.0,0.01,0.0,0.1,0.2,184.0,8.162155151367188,5.903433799743652,8.168313026428223,8.399444580078125,1.0,0.30978260869565216,2.2587218284606934,-0.23113088309764862,8.242144584655762
1000,5e-05,0.0,0.01,0.1,0.0,0.0,184.0,8.060378074645996,5.903433799743652,8.07018756866455,8.399444580078125,0.9728260869565217,0.33152173913043476,2.1569437980651855,-0.32925692200660706,8.242144584655762
1000,5e-05,0.0,0.01,0.1,0.0,0.01,184.0,8.079085350036621,5.903433799743652,8.081076622009277,8.399444580078125,0.9782608695652174,0.3423913043478261,2.1756515502929688,-0.31836703419685364,8.242144584655762
1000,5e-05,0.0,0.01,0.1,0.0,0.1,184.0,8.16356086730957,5.903433799743652,8.165502548217773,8.399444580078125,1.0,0.30978260869565216,2.260127305984497,-0.23394238948822021,8.242144584655762
1000,5e-05,0.0,0.01,0.1,0.0,0.2,184.0,8.156329154968262,5.903433799743652,8.156912803649902,8.399444580078125,1.0,0.29891304347826086,2.2528955936431885,-0.2425314486026764,8.242144584655762
1000,5e-05,0.0,0.01,0.1,0.01,0.0,184.0,8.059547424316406,5.903433799743652,8.070176124572754,8.399444580078125,0.9782608695652174,0.32608695652173914,2.1561145782470703,-0.3292684853076935,8.242144584655762
1000,5e-05,0.0,0.01,0.1,0.01,0.01,184.0,8.105599403381348,5.903433799743652,8.115477561950684,8.399444580078125,0.9891304347826086,0.3423913043478261,2.2021656036376953,-0.28396719694137573,8.242144584655762
1000,5e-05,0.0,0.01,0.1,0.01,0.1,184.0,8.159193992614746,5.903433799743652,8.160881996154785,8.399444580078125,1.0,0.30978260869565216,2.255760908126831,-0.23856212198734283,8.242144584655762
1000,5e-05,0.0,0.01,0.1,0.01,0.2,184.0,8.146334648132324,5.903433799743652,8.156074523925781,8.399444580078125,1.0,0.29891304347826086,2.242901086807251,-0.2433691918849945,8.242144584655762
1000,5e-05,0.0,0.01,0.1,0.1,0.0,184.0,8.054252624511719,5.903433799743652,8.059382438659668,8.399444580078125,0.9728260869565217,0.32065217391304346,2.150818109512329,-0.3400616943836212,8.242144584655762
1000,5e-05,0.0,0.01,0.1,0.1,0.01,184.0,8.072025299072266,5.903433799743652,8.076736450195312,8.399444580078125,0.9782608695652174,0.3423913043478261,2.168591260910034,-0.322707861661911,8.242144584655762
1000,5e-05,0.0,0.01,0.1,0.1,0.1,184.0,8.156381607055664,5.903433799743652,8.156595230102539,8.399444580078125,1.0,0.30978260869565216,2.252948045730591,-0.2428494393825531,8.242144584655762
1000,5e-05,0.0,0.01,0.1,0.1,0.2,184.0,8.155189514160156,5.903433799743652,8.158123970031738,8.399444580078125,1.0,0.29891304347826086,2.251755952835083,-0.24132102727890015,8.242144584655762
1000,5e-05,0.0,0.01,0.5,0.0,0.0,184.0,8.060897827148438,5.903433799743652,8.067514419555664,8.399444580078125,0.9836956521739131,0.33695652173913043,2.157463788986206,-0.33192962408065796,8.242144584655762
1000,5e-05,0.0,0.01,0.5,0.0,0.01,184.0,8.100010871887207,5.903433799743652,8.101545333862305,8.399444580078125,0.9836956521739131,0.33695652173913043,2.1965770721435547,-0.29789894819259644,8.242144584655762
1000,5e-05,0.0,0.01,0.5,0.0,0.1,184.0,8.15395736694336,5.903433799743652,8.161452293395996,8.399444580078125,1.0,0.32065217391304346,2.250523805618286,-0.23799216747283936,8.242144584655762
