epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,num_pairs,tv_mean,tv_median,spearman_mean,spearman_median,unique_mean,unique_median
1000,5e-05,0.0,0.1,0.0,0.0,0.01,200.0,2.0391,1.8089,0.0986,0.2909,7.3,7.0
1000,5e-05,0.0,0.1,0.0,0.0,0.1,5.0,3.3969,3.3752,1.0,1.0,10.4,10.0
1000,5e-05,0.0,0.1,0.0,0.0,0.2,56.0,2.4787,2.5236,0.3216,0.9909,8.7679,9.0
1000,5e-05,0.0,0.1,0.0,0.01,0.0,200.0,2.0876,1.9338,0.1363,0.2,7.305,7.0
1000,5e-05,0.0,0.1,0.0,0.01,0.01,200.0,1.8974,1.7243,0.1197,0.3318,6.86,7.0
1000,5e-05,0.0,0.1,0.0,0.01,0.1,9.0,3.4138,3.4296,0.7778,1.0,10.4444,11.0
1000,5e-05,0.0,0.1,0.0,0.01,0.2,47.0,2.469,2.3888,0.2814,0.9909,9.2553,9.0
1000,5e-05,0.0,0.1,0.0,0.1,0.0,200.0,2.2318,2.2089,0.1741,0.3045,7.145,7.0
1000,5e-05,0.0,0.1,0.0,0.1,0.01,200.0,2.0961,1.895,0.0814,0.1318,6.875,7.0
1000,5e-05,0.0,0.1,0.0,0.1,0.1,9.0,3.4138,3.4296,0.7778,1.0,9.8889,10.0
1000,5e-05,0.0,0.1,0.0,0.1,0.2,39.0,2.6578,3.09,0.6373,1.0,9.5385,10.0
1000,5e-05,0.0,0.1,0.1,0.0,0.0,200.0,2.1984,2.0736,0.1204,0.1909,7.075,7.0
1000,5e-05,0.0,0.1,0.1,0.0,0.01,200.0,2.1533,2.0883,0.1301,0.4,7.325,7.0
1000,5e-05,0.0,0.1,0.1,0.0,0.1,3.0,3.5424,3.5424,1.0,1.0,11.0,11.0
1000,5e-05,0.0,0.1,0.1,0.0,0.2,47.0,2.5438,2.2002,0.2795,1.0,9.8723,10.0
1000,5e-05,0.0,0.1,0.1,0.01,0.0,200.0,2.3059,2.179,0.1381,0.2045,7.375,7.0
1000,5e-05,0.0,0.1,0.1,0.01,0.01,200.0,2.1014,2.0013,0.1859,0.3409,7.27,7.0
1000,5e-05,0.0,0.1,0.1,0.01,0.1,5.0,3.1597,3.5424,0.9855,1.0,9.2,10.0
1000,5e-05,0.0,0.1,0.1,0.01,0.2,42.0,2.7109,3.0902,0.1916,0.9727,9.5476,9.0
1000,5e-05,0.0,0.1,0.1,0.1,0.0,200.0,2.3415,2.2053,0.1372,0.1864,7.335,7.0
1000,5e-05,0.0,0.1,0.1,0.1,0.01,200.0,2.0558,1.9326,0.1188,0.3545,7.245,7.0
1000,5e-05,0.0,0.1,0.1,0.1,0.1,5.0,2.707,3.5424,0.8582,1.0,9.0,11.0
1000,5e-05,0.0,0.1,0.1,0.1,0.2,26.0,2.9459,3.177,0.4615,1.0,10.2692,10.0
1000,5e-05,0.0,0.1,0.5,0.0,0.0,200.0,2.21,2.1451,0.1319,0.4045,6.925,7.0
1000,5e-05,0.0,0.1,0.5,0.0,0.01,200.0,2.022,1.8176,0.1445,0.2909,6.885,7.0
1000,5e-05,0.0,0.1,0.5,0.0,0.1,,,,,,,
1000,5e-05,0.0,0.1,0.5,0.0,0.2,56.0,2.5775,2.6508,0.2912,0.9864,8.75,9.0
1000,5e-05,0.0,0.1,0.5,0.01,0.0,200.0,2.2373,2.0448,0.1364,0.4045,6.875,7.0
1000,5e-05,0.0,0.1,0.5,0.01,0.01,200.0,1.9518,1.7446,0.1783,0.5182,6.855,7.0
1000,5e-05,0.0,0.1,0.5,0.01,0.1,,,,,,,
1000,5e-05,0.0,0.1,0.5,0.01,0.2,51.0,2.4415,2.33,0.1911,1.0,8.7647,9.0
1000,5e-05,0.0,0.1,0.5,0.1,0.0,200.0,2.2883,2.2834,0.1437,0.2727,7.17,7.0
1000,5e-05,0.0,0.1,0.5,0.1,0.01,200.0,1.9819,1.849,0.1285,0.2045,6.745,7.0
1000,5e-05,0.0,0.1,0.5,0.1,0.1,3.0,3.3752,3.3752,1.0,1.0,8.0,8.0
1000,5e-05,0.0,0.1,0.5,0.1,0.2,53.0,2.3815,2.4535,0.1489,0.9727,8.8113,9.0
1000,5e-05,0.0,0.1,1.0,0.0,0.0,200.0,2.2127,2.1179,0.1705,0.4818,7.22,7.0
1000,5e-05,0.0,0.1,1.0,0.0,0.01,200.0,1.9435,1.8326,0.2016,0.4818,6.925,7.0
1000,5e-05,0.0,0.1,1.0,0.0,0.1,10.0,2.7714,3.5424,0.7127,0.9864,9.7,9.5
1000,5e-05,0.0,0.1,1.0,0.0,0.2,54.0,2.6259,2.9014,0.2426,0.9682,9.2963,9.0
1000,5e-05,0.0,0.1,1.0,0.01,0.0,200.0,2.1807,2.0036,0.1589,0.4955,7.225,7.0
1000,5e-05,0.0,0.1,1.0,0.01,0.01,200.0,2.0223,1.9392,0.0959,0.0955,6.73,7.0
1000,5e-05,0.0,0.1,1.0,0.01,0.1,8.0,3.504,3.6074,0.7443,1.0,9.375,9.0
1000,5e-05,0.0,0.1,1.0,0.01,0.2,36.0,2.755,3.1427,0.1369,0.9636,9.5556,10.0
1000,5e-05,0.0,0.1,1.0,0.1,0.0,200.0,1.9326,1.6938,0.1722,0.4182,6.81,7.0
1000,5e-05,0.0,0.1,1.0,0.1,0.01,200.0,2.1506,2.0218,0.1782,0.4227,6.995,7.0
1000,5e-05,0.0,0.1,1.0,0.1,0.1,6.0,3.5485,3.5424,0.6682,1.0,10.5,10.5
1000,5e-05,0.0,0.1,1.0,0.1,0.2,51.0,2.7099,2.9507,0.1923,0.9727,9.2941,9.0
1000,5e-05,0.0,0.5,0.0,0.0,0.0,200.0,2.0389,1.8727,0.3789,0.9364,7.695,8.0
1000,5e-05,0.0,0.5,0.0,0.0,0.01,200.0,1.9541,1.7828,0.2933,0.8045,7.735,8.0
1000,5e-05,0.0,0.5,0.0,0.0,0.1,7.0,3.1213,3.4558,0.9896,1.0,8.1429,8.0
1000,5e-05,0.0,0.5,0.0,0.0,0.2,18.0,2.8119,2.8889,0.8823,0.9909,9.0,9.0
1000,5e-05,0.0,0.5,0.0,0.01,0.0,200.0,2.1506,2.276,0.3883,0.9455,8.0,8.0
1000,5e-05,0.0,0.5,0.0,0.01,0.01,200.0,2.1523,2.2928,0.3745,0.9182,7.86,8.0
1000,5e-05,0.0,0.5,0.0,0.01,0.1,3.0,3.4558,3.4558,1.0,1.0,9.0,9.0
