epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,num_pairs,tv_mean,tv_median,spearman_mean,spearman_median,unique_mean,unique_median
1000,5e-05,0.0,0.1,0.0,0.0,0.01,200.0,1.734,1.7645,-0.017,-0.2636,6.095,6.0
1000,5e-05,0.0,0.1,0.0,0.0,0.1,200.0,2.1652,2.1765,-0.012,-0.6409,8.16,8.0
1000,5e-05,0.0,0.1,0.0,0.0,0.2,200.0,2.1999,2.2097,-0.0082,-0.7545,8.245,8.0
1000,5e-05,0.0,0.1,0.0,0.01,0.0,200.0,1.8468,1.731,0.0885,0.2818,6.19,6.0
1000,5e-05,0.0,0.1,0.0,0.01,0.01,200.0,1.6588,1.7188,-0.0151,-0.1273,6.015,6.0
1000,5e-05,0.0,0.1,0.0,0.01,0.1,200.0,2.135,2.1675,-0.0308,-0.6727,8.22,8.0
1000,5e-05,0.0,0.1,0.0,0.01,0.2,200.0,2.1776,2.1957,0.0224,0.6909,8.095,8.0
1000,5e-05,0.0,0.1,0.0,0.1,0.0,200.0,1.8033,1.7443,0.0549,0.1545,6.125,6.0
1000,5e-05,0.0,0.1,0.0,0.1,0.01,200.0,1.6802,1.6856,-0.024,-0.2182,6.24,6.0
1000,5e-05,0.0,0.1,0.0,0.1,0.1,200.0,2.0732,2.1663,0.0195,0.0182,7.825,8.0
1000,5e-05,0.0,0.1,0.0,0.1,0.2,200.0,2.1387,2.1691,0.0535,0.8136,8.105,8.0
1000,5e-05,0.0,0.1,0.1,0.0,0.0,200.0,1.8269,1.7865,0.0033,-0.0136,6.265,6.0
1000,5e-05,0.0,0.1,0.1,0.0,0.01,200.0,1.6375,1.6038,-0.0276,-0.1,6.225,6.0
1000,5e-05,0.0,0.1,0.1,0.0,0.1,200.0,2.0441,2.1254,0.0477,0.6545,7.77,8.0
1000,5e-05,0.0,0.1,0.1,0.0,0.2,200.0,2.1047,2.1251,0.0946,0.8909,8.14,8.0
