epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,num_pairs,tv_mean,tv_median,spearman_mean,spearman_median,unique_mean,unique_median,mono_viol_mean,mono_viol_median
1000,5e-05,0.0,0.01,1.0,0.01,0.2,200.0,4.5394,4.4861,-0.9905,-0.9909,10.145,10.0,0.285,0.0
1000,5e-05,0.0,0.01,1.0,0.1,0.0,200.0,4.5703,4.5672,-0.8928,-0.9182,7.595,8.0,1.4,1.0
1000,5e-05,0.0,0.01,1.0,0.1,0.01,200.0,4.841,4.6773,-0.9325,-0.9545,8.335,8.0,1.085,1.0
1000,5e-05,0.0,0.01,1.0,0.1,0.1,200.0,4.4711,4.4509,-0.9892,-0.9909,10.13,10.0,0.33,0.0
1000,5e-05,0.0,0.01,1.0,0.1,0.2,200.0,4.5251,4.4738,-0.9905,-0.9909,10.185,10.0,0.305,0.0
1000,5e-05,0.0,0.1,0.0,0.0,0.0,200.0,4.6224,4.5412,-0.9569,-0.9773,8.695,9.0,0.59,0.0
1000,5e-05,0.0,0.1,0.0,0.0,0.01,200.0,4.6537,4.5189,-0.9646,-0.9818,8.59,9.0,0.435,0.0
1000,5e-05,0.0,0.1,0.0,0.0,0.1,200.0,4.4808,4.4634,-0.9905,-0.9909,10.15,10.0,0.29,0.0
1000,5e-05,0.0,0.1,0.0,0.0,0.2,200.0,4.5329,4.4894,-0.9917,-0.9909,10.225,10.0,0.325,0.0
1000,5e-05,0.0,0.1,0.0,0.01,0.0,200.0,4.5919,4.3904,-0.956,-0.9727,8.415,9.0,0.585,0.0
1000,5e-05,0.0,0.1,0.0,0.01,0.01,200.0,4.539,4.3874,-0.9557,-0.9636,8.235,8.0,0.44,0.0
1000,5e-05,0.0,0.1,0.0,0.01,0.1,200.0,4.4585,4.4288,-0.9915,-0.9909,10.205,10.0,0.245,0.0
1000,5e-05,0.0,0.1,0.0,0.01,0.2,200.0,4.5419,4.4892,-0.9906,-0.9909,10.22,10.0,0.41,0.0
1000,5e-05,0.0,0.1,0.0,0.1,0.0,200.0,4.5653,4.4273,-0.9552,-0.9636,8.51,9.0,0.54,0.0
1000,5e-05,0.0,0.1,0.0,0.1,0.01,200.0,4.5405,4.3796,-0.9542,-0.9636,8.3,8.0,0.4,0.0
1000,5e-05,0.0,0.1,0.0,0.1,0.1,200.0,4.4804,4.4455,-0.9907,-0.9909,10.135,10.0,0.28,0.0
1000,5e-05,0.0,0.1,0.0,0.1,0.2,200.0,4.5326,4.4906,-0.9921,-0.9909,10.305,10.0,0.325,0.0
1000,5e-05,0.0,0.1,0.1,0.0,0.0,200.0,4.6106,4.4677,-0.9569,-0.9727,8.485,8.0,0.585,0.0
1000,5e-05,0.0,0.1,0.1,0.0,0.01,200.0,4.4534,4.3178,-0.9436,-0.9636,8.185,8.0,0.48,0.0
1000,5e-05,0.0,0.1,0.1,0.0,0.1,200.0,4.4696,4.4066,-0.9909,-0.9909,10.09,10.0,0.225,0.0
1000,5e-05,0.0,0.1,0.1,0.0,0.2,200.0,4.4991,4.4489,-0.9926,-0.9909,10.235,10.0,0.325,0.0
1000,5e-05,0.0,0.1,0.1,0.01,0.0,200.0,4.553,4.4822,-0.9537,-0.9636,8.385,8.0,0.58,0.0
1000,5e-05,0.0,0.1,0.1,0.01,0.01,200.0,4.5276,4.3383,-0.9528,-0.9636,8.19,8.0,0.495,0.0
1000,5e-05,0.0,0.1,0.1,0.01,0.1,200.0,4.4633,4.4453,-0.9891,-0.9909,10.09,10.0,0.32,0.0
1000,5e-05,0.0,0.1,0.1,0.01,0.2,200.0,4.5054,4.456,-0.9925,-0.9909,10.205,10.0,0.28,0.0
1000,5e-05,0.0,0.1,0.1,0.1,0.0,200.0,4.4843,4.3781,-0.9539,-0.9727,8.415,8.5,0.57,0.0
