epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,val_recon_r2,val_reg_r2
1000,5e-05,0.01,0.1,0.1,0.0,0.2,0.9481782528127547,0.90834048583606
1000,5e-05,0.01,0.1,0.1,0.01,0.0,0.9525836928672405,0.9049645451975044
1000,5e-05,0.01,0.1,0.1,0.01,0.01,0.9519926561353411,0.9064499771138796
1000,5e-05,0.01,0.1,0.1,0.01,0.1,0.951180878750912,0.9087706624479144
1000,5e-05,0.01,0.1,0.1,0.01,0.2,0.9476811881352819,0.9093667441999777
1000,5e-05,0.01,0.1,0.1,0.1,0.0,0.9520567000016242,0.9054429616068417
1000,5e-05,0.01,0.1,0.1,0.1,0.01,0.9512130879620863,0.9075848004046058
1000,5e-05,0.01,0.1,0.1,0.1,0.1,0.9507479796936293,0.9099879634726347
1000,5e-05,0.01,0.1,0.1,0.1,0.2,0.9489198703431649,0.9076548469751937
1000,5e-05,0.01,0.1,0.5,0.0,0.0,0.9485257372166771,0.9079347970117689
1000,5e-05,0.01,0.1,0.5,0.0,0.01,0.9471562584527331,0.9040618006647421
1000,5e-05,0.01,0.1,0.5,0.0,0.1,0.9482583350517308,0.9111413978283183
1000,5e-05,0.01,0.1,0.5,0.0,0.2,0.9456900997904538,0.9119580261754705
1000,5e-05,0.01,0.1,0.5,0.01,0.0,0.9466856634041743,0.907785326487881
1000,5e-05,0.01,0.1,0.5,0.01,0.01,0.9480371896554498,0.9057008888943965
1000,5e-05,0.01,0.1,0.5,0.01,0.1,0.9483248182407606,0.9118137773791355
1000,5e-05,0.01,0.1,0.5,0.01,0.2,0.9471711111359948,0.9110350050149454
1000,5e-05,0.01,0.1,0.5,0.1,0.0,0.9473404318853109,0.9054349919278971
1000,5e-05,0.01,0.1,0.5,0.1,0.01,0.9480367066298163,0.9059891931523314
1000,5e-05,0.01,0.1,0.5,0.1,0.1,0.9496684620484277,0.9124216074815371
1000,5e-05,0.01,0.1,0.5,0.1,0.2,0.9468654571260032,0.9117902408325935
1000,5e-05,0.01,0.1,1.0,0.0,0.0,0.9456014922314289,0.9099589928106667
1000,5e-05,0.01,0.1,1.0,0.0,0.01,0.947776170143313,0.9098740640442862
1000,5e-05,0.01,0.1,1.0,0.0,0.1,0.9439235835460542,0.9149814049162773
1000,5e-05,0.01,0.1,1.0,0.0,0.2,0.9430763292748726,0.915367176058464
1000,5e-05,0.01,0.1,1.0,0.01,0.0,0.9463006220422915,0.9083697827842736
1000,5e-05,0.01,0.1,1.0,0.01,0.01,0.9455053681450243,0.9090492895072945
1000,5e-05,0.01,0.1,1.0,0.01,0.1,0.9446418830457346,0.9135324095577204
1000,5e-05,0.01,0.1,1.0,0.01,0.2,0.9428078919923415,0.9150920892856123
1000,5e-05,0.01,0.1,1.0,0.1,0.0,0.9444896819284904,0.9093902487360395
1000,5e-05,0.01,0.1,1.0,0.1,0.01,0.9459233454771478,0.9107743417598024
1000,5e-05,0.01,0.1,1.0,0.1,0.1,0.944324462778851,0.9146590681555051
1000,5e-05,0.01,0.1,1.0,0.1,0.2,0.9427052398567286,0.9154486416034424
1000,5e-05,0.01,0.5,0.0,0.0,0.0,0.8934112457451296,0.9065040980719543
1000,5e-05,0.01,0.5,0.0,0.0,0.01,0.8946555840859871,0.9073491010887882
1000,5e-05,0.01,0.5,0.0,0.0,0.1,0.8939456877720331,0.9109224239158547
1000,5e-05,0.01,0.5,0.0,0.0,0.2,0.8925173489200755,0.91123692186946
1000,5e-05,0.01,0.5,0.0,0.01,0.0,0.8926538860616025,0.9063853481313542
1000,5e-05,0.01,0.5,0.0,0.01,0.01,0.8917610077564269,0.9060470421899284
1000,5e-05,0.01,0.5,0.0,0.01,0.1,0.8934003355209558,0.9105876971680367
1000,5e-05,0.01,0.5,0.0,0.01,0.2,0.8913937070052225,0.9105254569574528
1000,5e-05,0.01,0.5,0.0,0.1,0.0,0.8950457954131781,0.9065848861978603
1000,5e-05,0.01,0.5,0.0,0.1,0.01,0.89454571409768,0.9065571065658228
1000,5e-05,0.01,0.5,0.0,0.1,0.1,0.8958120985467073,0.9108669264927157
1000,5e-05,0.01,0.5,0.0,0.1,0.2,0.8920981314969543,0.9115242997653927
1000,5e-05,0.01,0.5,0.1,0.0,0.0,0.8906070550586588,0.9064773257877713
1000,5e-05,0.01,0.5,0.1,0.0,0.01,0.8949316868810762,0.9070757143481384
1000,5e-05,0.01,0.5,0.1,0.0,0.1,0.8917803746993938,0.9100248443581381
1000,5e-05,0.01,0.5,0.1,0.0,0.2,0.8931937761021249,0.9115374371567144
1000,5e-05,0.01,0.5,0.1,0.01,0.0,0.891884224432252,0.9064632578921966
1000,5e-05,0.01,0.5,0.1,0.01,0.01,0.8972838787300714,0.9075922966217469
1000,5e-05,0.01,0.5,0.1,0.01,0.1,0.8950222034434869,0.9105323967887786
1000,5e-05,0.01,0.5,0.1,0.01,0.2,0.8953169153378805,0.9111698792018158
1000,5e-05,0.01,0.5,0.1,0.1,0.0,0.8970744135140537,0.9071961892244854
1000,5e-05,0.01,0.5,0.1,0.1,0.01,0.8949496418983203,0.9069935976170066
1000,5e-05,0.01,0.5,0.1,0.1,0.1,0.8929455755866291,0.9108704052654314
1000,5e-05,0.01,0.5,0.1,0.1,0.2,0.8933993777914766,0.9117373551350152
1000,5e-05,0.01,0.5,0.5,0.0,0.0,0.8926321177652058,0.9075437826484157
1000,5e-05,0.01,0.5,0.5,0.0,0.01,0.892250901204404,0.908116644940717
1000,5e-05,0.01,0.5,0.5,0.0,0.1,0.8966828018565625,0.910941058514677
1000,5e-05,0.01,0.5,0.5,0.0,0.2,0.8925162259555813,0.9127397212485554
1000,5e-05,0.01,0.5,0.5,0.01,0.0,0.8932849390838207,0.9085789591485963
1000,5e-05,0.01,0.5,0.5,0.01,0.01,0.8943335154973127,0.9079096004343832
1000,5e-05,0.01,0.5,0.5,0.01,0.1,0.8918178736969942,0.9119563677692091
1000,5e-05,0.01,0.5,0.5,0.01,0.2,0.8921178310405069,0.9128122443444963
1000,5e-05,0.01,0.5,0.5,0.1,0.0,0.895353296161995,0.9072418602058593
1000,5e-05,0.01,0.5,0.5,0.1,0.01,0.8921298378975023,0.9077834649659902
1000,5e-05,0.01,0.5,0.5,0.1,0.1,0.8908884303498822,0.9102540047825338
1000,5e-05,0.01,0.5,0.5,0.1,0.2,0.8926014844498344,0.9123155584405078
1000,5e-05,0.01,0.5,1.0,0.0,0.0,0.8957986158009242,0.9081483629773774
1000,5e-05,0.01,0.5,1.0,0.0,0.01,0.8982676469933384,0.9079413246260623
1000,5e-05,0.01,0.5,1.0,0.0,0.1,0.8964526034560113,0.9101837188456294
1000,5e-05,0.01,0.5,1.0,0.0,0.2,0.8937010784256005,0.9134875293293963
1000,5e-05,0.01,0.5,1.0,0.01,0.0,0.8979377720091916,0.9083303582810406
1000,5e-05,0.01,0.5,1.0,0.01,0.01,0.8968519728096354,0.9076046287852144
1000,5e-05,0.01,0.5,1.0,0.01,0.1,0.8949239455622058,0.910999550388666
1000,5e-05,0.01,0.5,1.0,0.01,0.2,0.894019721516886,0.9132393730334643
1000,5e-05,0.01,0.5,1.0,0.1,0.0,0.894922161618241,0.9086101063335738
1000,5e-05,0.01,0.5,1.0,0.1,0.01,0.895336511480259,0.9081441624541683
1000,5e-05,0.01,0.5,1.0,0.1,0.1,0.8959845238303339,0.9107750764726807
1000,5e-05,0.01,0.5,1.0,0.1,0.2,0.8955654826136084,0.913146820141639
1000,5e-05,0.1,0.01,0.0,0.0,0.0,0.9151055213440387,0.8127282401920677
1000,5e-05,0.1,0.01,0.0,0.0,0.01,0.9158028403166805,0.8199963357029647
1000,5e-05,0.1,0.01,0.0,0.0,0.1,0.9152984699038058,0.8596383324878435
1000,5e-05,0.1,0.01,0.0,0.0,0.2,0.9141356803243772,0.8735932897478664
1000,5e-05,0.1,0.01,0.0,0.01,0.0,0.915082828077164,0.8133862798087519
1000,5e-05,0.1,0.01,0.0,0.01,0.01,0.9156927948346232,0.8203141616512909
1000,5e-05,0.1,0.01,0.0,0.01,0.1,0.9156805862137768,0.8600246782575067
1000,5e-05,0.1,0.01,0.0,0.01,0.2,0.9143688791042782,0.8736303816842153
1000,5e-05,0.1,0.01,0.0,0.1,0.0,0.9160940229089207,0.8132333772060688
1000,5e-05,0.1,0.01,0.0,0.1,0.01,0.915821901607678,0.8193815465942978
1000,5e-05,0.1,0.01,0.0,0.1,0.1,0.9153004443190391,0.8596851009459695
1000,5e-05,0.1,0.01,0.0,0.1,0.2,0.9143782829411626,0.8723155431644004
1000,5e-05,0.1,0.01,0.1,0.0,0.0,0.9139196925645271,0.8684176363195968
1000,5e-05,0.1,0.01,0.1,0.0,0.01,0.9136278456393334,0.8707689373305803
1000,5e-05,0.1,0.01,0.1,0.0,0.1,0.9143891492411793,0.8854561724545684
