measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,1,5.08,48,1,[0.3974],[None],2000
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,8,44.6,384,0,"[0.6304, 0.5047, 0.3273, 0.3015, 0.2931, 0.319, 0.2993, 0.3765]","[None, None, None, None, None, None, None, None]",2001
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,2,10.09,96,0,"[0.4923, 0.3872]","[None, None]",2002
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,1,5.02,48,0,[0.5002],[None],2003
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,1,4.93,48,0,[0.5915],[None],2004
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,2,10.03,96,0,"[0.6048, 0.3971]","[None, None]",2005
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,1,5.0,48,0,[0.5942],[None],2006
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,1,4.76,48,0,[0.6268],[None],2007
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,2,10.17,96,0,"[0.5661, 0.4112]","[None, None]",2008
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,1,4.86,48,0,[0.571],[None],2009
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,1,5.14,48,0,[0.5984],[None],2010
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,1,5.03,48,0,[0.4572],[None],2011
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,4,21.5,192,1,"[0.5661, 0.4401, 0.4089, 0.484]","[None, None, None, None]",2012
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,2,9.94,96,0,"[0.5686, 0.3582]","[None, None]",2013
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,1,5.0,48,0,[0.5374],[None],2014
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,1,5.02,48,0,[0.6082],[None],2015
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,2,10.16,96,0,"[0.507, 0.3738]","[None, None]",2016
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,4,20.95,192,0,"[0.6696, 0.4018, 0.3774, 0.3389]","[None, None, None, None]",2017
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,3,15.52,144,0,"[0.4866, 0.2634, 0.3406]","[None, None, None]",2018
48,False,False,1e-05,1e-05,100,"(1.0, 0.0, 0.0)",64,0,3,2,10.14,96,0,"[0.6014, 0.4517]","[None, None]",2019
