,encoder_freeze,scratch,measure_size,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_pair,margin_scale,lambda_smooth,lambda_infonce,tau,tau_c,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed
33,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.1,,2,128,0,8.71,"[0.6789, 0.7185]","[None, None]",2013
34,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.1,,1,64,0,4.18,[0.6887],[None],2014
35,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.1,,2,128,0,8.74,"[0.6682, 0.6812]","[None, None]",2015
36,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.1,,2,128,0,8.65,"[0.6148, 0.5391]","[None, None]",2016
37,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.1,,1,64,0,4.05,[0.7137],[None],2017
38,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.1,,2,128,1,8.33,"[0.615, 0.6614]","[None, None]",2018
39,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.001,0.1,,1,64,0,4.08,[0.6112],[None],2019
40,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,1,64,0,4.04,[0.7123],[None],2000
41,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,1,64,0,4.08,[0.5851],[None],2001
42,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,1,64,1,4.04,[0.6929],[None],2002
43,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,2,128,1,8.37,"[0.6631, 0.6859]","[None, None]",2003
44,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,1,64,0,4.05,[0.7116],[None],2004
45,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,1,64,0,4.26,[0.6521],[None],2005
46,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,1,64,0,4.19,[0.6631],[None],2006
47,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,1,64,0,4.32,[0.6251],[None],2007
48,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,1,64,1,4.19,[0.4962],[None],2008
49,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,1,64,0,4.2,[0.6429],[None],2009
50,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,1,64,0,4.21,[0.652],[None],2010
51,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,1,64,0,4.2,[0.6455],[None],2011
52,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,1,64,0,4.18,[0.6328],[None],2012
53,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,2,128,0,8.29,"[0.6805, 0.7157]","[None, None]",2013
54,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,1,64,0,4.07,[0.6888],[None],2014
55,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,2,128,0,8.29,"[0.6676, 0.6449]","[None, None]",2015
56,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,2,128,0,8.31,"[0.6118, 0.5398]","[None, None]",2016
57,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,1,64,0,4.05,[0.7133],[None],2017
58,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,2,128,1,8.47,"[0.6149, 0.6709]","[None, None]",2018
59,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.05,,1,64,0,4.06,[0.6172],[None],2019
60,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,1,64,0,4.05,[0.7114],[None],2000
61,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,1,64,0,4.03,[0.5834],[None],2001
62,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,1,64,1,4.19,[0.6936],[None],2002
63,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,2,128,1,8.33,"[0.663, 0.6816]","[None, None]",2003
64,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,1,64,0,4.03,[0.7113],[None],2004
65,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,1,64,0,4.08,[0.6508],[None],2005
66,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,1,64,0,4.26,[0.6626],[None],2006
67,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,4,256,0,17.75,"[0.6259, 0.668, 0.581, 0.5991]","[None, None, None, None]",2007
68,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,1,64,1,4.18,[0.4894],[None],2008
69,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,1,64,0,4.2,[0.6428],[None],2009
70,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,1,64,0,4.23,[0.6516],[None],2010
71,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,1,64,0,4.18,[0.6461],[None],2011
72,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,1,64,0,4.21,[0.6312],[None],2012
73,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,2,128,0,8.62,"[0.6799, 0.6977]","[None, None]",2013
74,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,1,64,0,4.18,[0.687],[None],2014
75,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,3,192,0,13.09,"[0.6694, 0.6581, 0.7276]","[None, None, None]",2015
76,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,2,128,0,8.61,"[0.6085, 0.5476]","[None, None]",2016
77,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,1,64,0,4.08,[0.7134],[None],2017
78,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,2,128,1,8.31,"[0.6135, 0.6853]","[None, None]",2018
79,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.01,0.1,,1,64,0,4.04,[0.6154],[None],2019
80,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,1,64,1,4.04,[0.7149],[None],2000
81,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,1,64,0,4.04,[0.56],[None],2001
82,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,1,64,1,4.03,[0.6877],[None],2002
83,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,2,128,1,8.31,"[0.6592, 0.6822]","[None, None]",2003
84,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,1,64,0,4.07,[0.7087],[None],2004
85,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,1,64,0,4.09,[0.6481],[None],2005
86,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,1,64,0,4.09,[0.6603],[None],2006
87,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,3,192,0,12.79,"[0.6259, 0.6478, 0.5904]","[None, None, None]",2007
88,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,1,64,1,4.04,[0.4845],[None],2008
89,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,1,64,0,4.03,[0.6423],[None],2009
90,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,1,64,0,4.05,[0.6503],[None],2010
91,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,1,64,0,4.02,[0.6419],[None],2011
92,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,1,64,0,4.11,[0.6292],[None],2012
93,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,2,128,0,8.3,"[0.6793, 0.7076]","[None, None]",2013
94,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,1,64,0,4.02,[0.6886],[None],2014
95,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,1,64,0,4.03,[0.6675],[None],2015
96,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,2,128,0,8.3,"[0.6034, 0.5256]","[None, None]",2016
97,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,1,64,0,4.03,[0.7164],[None],2017
98,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,2,128,1,8.3,"[0.6098, 0.6605]","[None, None]",2018
99,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.05,,1,64,0,4.03,[0.6322],[None],2019
100,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,1,64,1,4.03,[0.7081],[None],2000
101,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,1,64,0,4.11,[0.5586],[None],2001
102,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,1,64,1,4.21,[0.6909],[None],2002
103,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,2,128,1,8.4,"[0.6526, 0.6753]","[None, None]",2003
104,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,1,64,0,4.03,[0.7042],[None],2004
105,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,1,64,0,4.04,[0.6384],[None],2005
106,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,1,64,0,4.03,[0.6567],[None],2006
107,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,4,256,0,17.47,"[0.6228, 0.5813, 0.5761, 0.621]","[None, None, None, None]",2007
108,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,1,64,1,4.03,[0.4795],[None],2008
109,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,1,64,0,4.11,[0.6436],[None],2009
110,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,1,64,0,4.04,[0.6405],[None],2010
111,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,1,64,0,4.17,[0.639],[None],2011
112,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,1,64,0,4.1,[0.6199],[None],2012
113,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,2,128,0,8.35,"[0.6783, 0.7048]","[None, None]",2013
114,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,1,64,0,4.04,[0.682],[None],2014
115,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,1,64,0,4.05,[0.6702],[None],2015
116,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,2,128,0,8.33,"[0.5892, 0.5411]","[None, None]",2016
117,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,1,64,0,4.05,[0.7085],[None],2017
118,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,2,128,1,8.33,"[0.6096, 0.6928]","[None, None]",2018
119,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.05,0.1,,1,64,0,4.05,[0.6271],[None],2019
120,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,1,64,1,4.09,[0.7174],[None],2000
121,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,1,64,0,4.06,[0.5447],[None],2001
122,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,1,64,1,4.06,[0.6811],[None],2002
123,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,2,128,1,8.36,"[0.6577, 0.6823]","[None, None]",2003
124,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,1,64,0,4.04,[0.7039],[None],2004
125,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,1,64,0,4.05,[0.6476],[None],2005
126,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,1,64,0,4.05,[0.6607],[None],2006
127,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,3,192,1,13.05,"[0.6183, 0.6084, 0.5628]","[None, None, None]",2007
128,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,1,64,1,4.22,[0.4724],[None],2008
129,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,1,64,0,4.2,[0.6329],[None],2009
130,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,1,64,0,4.18,[0.65],[None],2010
131,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,1,64,0,4.17,[0.6408],[None],2011
132,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,1,64,0,4.17,[0.6266],[None],2012
133,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,2.0,0.3,0.01,0.1,0.05,,2,128,0,8.67,"[0.6779, 0.7141]","[None, None]",2013
