measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_pair,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.42,64,0,[0.7106],[None],2000
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.27,64,0,[0.6747],[None],2001
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.33,64,1,[0.6406],[None],2002
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.88,128,1,"[0.6514, 0.6565]","[None, None]",2003
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.23,64,0,[0.7284],[None],2004
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.6309],[None],2005
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.21,64,0,[0.6974],[None],2006
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.99,128,1,"[0.6869, 0.5798]","[None, None]",2007
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.44,64,1,[0.6077],[None],2008
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.3,64,0,[0.6696],[None],2009
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.29,64,0,[0.7109],[None],2010
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.32,64,1,[0.6743],[None],2011
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.96,128,0,"[0.698, 0.6611]","[None, None]",2012
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.72,128,0,"[0.6784, 0.4935]","[None, None]",2013
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.72,128,0,"[0.7112, 0.5672]","[None, None]",2014
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.8,128,0,"[0.6472, 0.5764]","[None, None]",2015
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.35,64,0,[0.6361],[None],2016
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.76,128,1,"[0.7381, 0.6898]","[None, None]",2017
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.6522],[None],2018
64,False,False,1e-05,1e-05,0,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.26,64,0,[0.6503],[None],2019
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.25,64,0,[0.6756],[None],2000
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.33,64,0,[0.6738],[None],2001
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.38,64,1,[0.62],[None],2002
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.66,128,1,"[0.63, 0.6509]","[None, None]",2003
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.24,64,0,[0.708],[None],2004
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.23,64,0,[0.5911],[None],2005
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.3,64,0,[0.6633],[None],2006
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.69,128,1,"[0.6722, 0.5456]","[None, None]",2007
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.23,64,1,[0.5726],[None],2008
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.6287],[None],2009
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.6634],[None],2010
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.23,64,1,[0.6418],[None],2011
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.65,128,1,"[0.6865, 0.6043]","[None, None]",2012
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.64,128,1,"[0.6467, 0.4635]","[None, None]",2013
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.23,64,0,[0.6876],[None],2014
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.65,128,0,"[0.5717, 0.4995]","[None, None]",2015
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.5927],[None],2016
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.65,128,1,"[0.737, 0.6772]","[None, None]",2017
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.6249],[None],2018
64,False,False,1e-05,1e-05,0,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.617],[None],2019
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.721],[None],2000
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.6763],[None],2001
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.41,64,1,[0.6513],[None],2002
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.87,128,1,"[0.6622, 0.67]","[None, None]",2003
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.46,64,0,[0.7414],[None],2004
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.24,64,0,[0.648],[None],2005
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.28,64,0,[0.7094],[None],2006
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.85,128,1,"[0.6935, 0.5894]","[None, None]",2007
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.56,64,1,[0.6128],[None],2008
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.89,64,0,[0.6773],[None],2009
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.38,64,0,[0.7251],[None],2010
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.57,64,1,[0.6904],[None],2011
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.86,128,1,"[0.7008, 0.6616]","[None, None]",2012
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,7.15,128,0,"[0.6921, 0.5181]","[None, None]",2013
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.79,128,1,"[0.7172, 0.6104]","[None, None]",2014
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.71,128,0,"[0.6631, 0.5835]","[None, None]",2015
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.31,64,0,[0.6508],[None],2016
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.74,128,0,"[0.7452, 0.7079]","[None, None]",2017
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.75,128,1,"[0.6721, 0.6373]","[None, None]",2018
64,False,False,1e-05,1e-05,100,1.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.6622],[None],2019
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.7078],[None],2000
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.23,64,0,[0.6757],[None],2001
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.37,64,1,[0.6495],[None],2002
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,2,6.84,128,1,"[0.6558, 0.6702]","[None, None]",2003
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.22,64,0,[0.7355],[None],2004
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.24,64,0,[0.6297],[None],2005
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.29,64,0,[0.6897],[None],2006
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.65,64,0,[0.6897],[None],2007
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.41,64,1,[0.5862],[None],2008
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.35,64,0,[0.6548],[None],2009
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.64,64,0,[0.7005],[None],2010
64,False,False,1e-05,1e-05,100,2.0,"(0.6, 0.1, 0.3)",64,2,0,1,3.24,64,1,[0.6736],[None],2011
