scratch,encoder_freeze,measure_size,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,T_mc,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,9,34.24,432,0,"[0.5676, 0.568, 0.4846, 0.4794, 0.4033, 0.2662, 0.2798, 0.2115, 0.1962]","[None, None, None, None, None, None, None, None, None]",2001
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.21,48,0,[0.4673],[None],2002
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.22,48,0,[0.5296],[None],2003
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.2,48,0,[0.5405],[None],2004
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.59,96,0,"[0.5783, 0.4415]","[None, None]",2005
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.21,48,0,[0.6326],[None],2006
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.58,96,0,"[0.6383, 0.5097]","[None, None]",2007
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.59,96,0,"[0.5768, 0.5391]","[None, None]",2008
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.21,48,0,[0.5844],[None],2009
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.57,96,1,"[0.4949, 0.4781]","[None, None]",2010
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.84,96,0,"[0.4212, 0.2238]","[None, None]",2011
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.29,48,0,[0.4976],[None],2012
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.86,96,0,"[0.5198, 0.4781]","[None, None]",2013
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.26,48,0,[0.5019],[None],2014
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.6,96,0,"[0.6343, 0.3644]","[None, None]",2015
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.59,96,0,"[0.3962, 0.3466]","[None, None]",2016
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.62,96,0,"[0.6184, 0.6356]","[None, None]",2017
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.59,96,0,"[0.5493, 0.4033]","[None, None]",2018
False,False,48,1e-05,0.0001,200,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.21,48,0,[0.5488],[None],2019
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.26,48,1,[0.3676],[None],2000
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.82,96,0,"[0.6001, 0.3224]","[None, None]",2001
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.84,96,1,"[0.4244, 0.311]","[None, None]",2002
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.35,48,0,[0.4469],[None],2003
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.35,48,0,[0.5627],[None],2004
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.6,96,1,"[0.6012, 0.366]","[None, None]",2005
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.22,48,0,[0.5349],[None],2006
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.23,48,0,[0.601],[None],2007
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.6,96,1,"[0.5098, 0.2486]","[None, None]",2008
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.22,48,0,[0.5495],[None],2009
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.58,96,1,"[0.5678, 0.256]","[None, None]",2010
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.6,96,0,"[0.4382, 0.1434]","[None, None]",2011
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.22,48,0,[0.5027],[None],2012
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.78,96,0,"[0.5226, 0.2929]","[None, None]",2013
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.26,48,0,[0.4894],[None],2014
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.21,48,0,[0.5505],[None],2015
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.62,96,1,"[0.5116, 0.2363]","[None, None]",2016
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.59,96,0,"[0.6353, 0.2403]","[None, None]",2017
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,4,13.71,192,0,"[0.3976, 0.2182, 0.2678, 0.1835]","[None, None, None, None]",2018
False,False,48,1e-05,1e-05,0,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.59,96,1,"[0.5947, 0.2331]","[None, None]",2019
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.27,48,1,[0.3974],[None],2000
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.77,96,0,"[0.6304, 0.4633]","[None, None]",2001
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.59,96,1,"[0.4923, 0.4002]","[None, None]",2002
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.26,48,0,[0.5002],[None],2003
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.21,48,0,[0.5915],[None],2004
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.65,96,0,"[0.6048, 0.4161]","[None, None]",2005
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.21,48,0,[0.5942],[None],2006
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.22,48,0,[0.6268],[None],2007
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.22,48,0,[0.5661],[None],2008
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.21,48,0,[0.571],[None],2009
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.59,96,1,"[0.5984, 0.3835]","[None, None]",2010
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.8,96,1,"[0.4572, 0.2381]","[None, None]",2011
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.38,48,0,[0.5661],[None],2012
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.85,96,0,"[0.5686, 0.332]","[None, None]",2013
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.37,48,0,[0.5374],[None],2014
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.34,48,0,[0.6082],[None],2015
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.6,96,1,"[0.507, 0.3349]","[None, None]",2016
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,3,10.16,144,0,"[0.6696, 0.3746, 0.4166]","[None, None, None]",2017
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.9,96,0,"[0.4866, 0.2809]","[None, None]",2018
False,False,48,1e-05,1e-05,100,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.69,96,1,"[0.6014, 0.3838]","[None, None]",2019
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.26,48,1,[0.4102],[None],2000
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.87,96,0,"[0.6453, 0.5061]","[None, None]",2001
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.72,96,1,"[0.5222, 0.4157]","[None, None]",2002
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.25,48,0,[0.5302],[None],2003
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.21,48,0,[0.5997],[None],2004
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.59,96,0,"[0.6078, 0.4341]","[None, None]",2005
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.21,48,0,[0.6153],[None],2006
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.32,48,0,[0.6355],[None],2007
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.35,48,0,[0.5885],[None],2008
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.34,48,0,[0.5761],[None],2009
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.86,96,1,"[0.6101, 0.4265]","[None, None]",2010
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.87,96,1,"[0.4665, 0.3123]","[None, None]",2011
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.26,48,0,[0.5823],[None],2012
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.76,96,0,"[0.5865, 0.4038]","[None, None]",2013
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.4,48,0,[0.5552],[None],2014
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.34,48,0,[0.6276],[None],2015
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.85,96,1,"[0.5068, 0.3457]","[None, None]",2016
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.62,96,0,"[0.67, 0.4283]","[None, None]",2017
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.79,96,0,"[0.5195, 0.3317]","[None, None]",2018
False,False,48,1e-05,1e-05,200,"(0.7, 0.0, 0.3)",0,20,0,0,2,6.79,96,1,"[0.605, 0.4292]","[None, None]",2019
True,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,0,0,1,3.22,48,0,[0.5719],[None],2000
True,False,48,1e-05,0.0001,0,"(0.7, 0.0, 0.3)",0,20,0,0,5,17.57,240,0,"[0.7362, 0.54, 0.3507, 0.2601, 0.2887]","[None, None, None, None, None]",2001
