weights,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
"(0.3, 0.0, 0.7)",4,41.73,256,"[0.7134, 0.6951, 0.4022, 0.3625]","[0.8184, 0.8754, 0.8683, 0.8835]",2023
"(0.3, 0.0, 0.7)",2,20.35,128,"[0.7082, 0.6937]","[0.8558, 0.8805]",2024
"(0.3, 0.0, 0.7)",4,41.53,256,"[0.6896, 0.5774, 0.4759, 0.3107]","[0.8422, 0.8599, 0.8753, 0.8871]",2025
"(0.3, 0.1, 0.6)",3,30.36,192,"[0.7134, 0.6103, 0.6003]","[0.8184, 0.879, 0.8859]",2023
"(0.3, 0.1, 0.6)",2,19.99,128,"[0.7082, 0.7791]","[0.8558, 0.8819]",2024
"(0.3, 0.1, 0.6)",5,53.43,320,"[0.6896, 0.7066, 0.5885, 0.3907, 0.2668]","[0.8422, 0.8672, 0.8794, 0.8883, 0.8896]",2025
"(0.3, 0.2, 0.5)",3,30.89,192,"[0.7134, 0.6628, 0.5207]","[0.8184, 0.873, 0.8829]",2023
"(0.3, 0.2, 0.5)",2,19.99,128,"[0.7082, 0.72]","[0.8558, 0.88]",2024
