weights,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
"(0.5, 0.2, 0.3)",2,20.22,128,"[0.7134, 0.7243]","[0.8184, 0.8706]",2023
"(0.5, 0.2, 0.3)",2,20.7,128,"[0.6896, 0.4838]","[0.8422, 0.8629]",2025
"(0.5, 0.2, 0.3)",2,20.39,128,"[0.7134, 0.5852]","[0.8184, 0.8687]",2023
"(0.5, 0.2, 0.3)",5,54.91,320,"[0.6896, 0.4738, 0.4622, 0.3554, 0.2789]","[0.8422, 0.8634, 0.8778, 0.8847, 0.8897]",2025
"(0.5, 0.2, 0.3)",2,20.07,128,"[0.7134, 0.6946]","[0.8184, 0.8725]",2023
"(0.5, 0.2, 0.3)",3,31.28,192,"[0.6896, 0.54, 0.3976]","[0.8422, 0.8629, 0.8851]",2025
"(0.5, 0.2, 0.3)",2,20.02,128,"[0.7134, 0.766]","[0.8184, 0.8741]",2023
"(0.5, 0.2, 0.3)",4,42.12,256,"[0.6896, 0.5823, 0.4547, 0.3803]","[0.8422, 0.8702, 0.8814, 0.8755]",2025
"(0.5, 0.2, 0.3)",2,20.66,128,"[0.7134, 0.69]","[0.8184, 0.8678]",2023
