weights,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
"(0.4, 0.4, 0.2)",3,31.11,192,"[0.7134, 0.6845, 0.57]","[0.8184, 0.87, 0.882]",2023
"(0.4, 0.4, 0.2)",2,20.01,128,"[0.7082, 0.7613]","[0.8558, 0.8868]",2024
"(0.4, 0.4, 0.2)",4,41.73,256,"[0.6896, 0.7566, 0.6902, 0.569]","[0.8422, 0.8816, 0.8768, 0.8905]",2025
"(0.4, 0.5, 0.1)",5,53.62,320,"[0.7134, 0.6517, 0.7307, 0.5668, 0.5019]","[0.8184, 0.8618, 0.8731, 0.8899, 0.8976]",2023
"(0.4, 0.5, 0.1)",2,19.95,128,"[0.7082, 0.7642]","[0.8558, 0.8863]",2024
"(0.4, 0.5, 0.1)",5,54.96,320,"[0.6896, 0.7314, 0.7508, 0.605, 0.5055]","[0.8422, 0.8765, 0.8844, 0.8872, 0.8951]",2025
"(0.4, 0.6, 0.0)",5,54.58,320,"[0.7134, 0.7335, 0.7795, 0.6518, 0.5478]","[0.8184, 0.8631, 0.8845, 0.8913, 0.8929]",2023
"(0.4, 0.6, 0.0)",2,20.03,128,"[0.7082, 0.7792]","[0.8558, 0.8822]",2024
"(0.4, 0.6, 0.0)",6,65.63,384,"[0.6896, 0.7663, 0.7282, 0.6583, 0.4454, 0.447]","[0.8422, 0.8772, 0.8795, 0.886, 0.8799, 0.8919]",2025
"(0.5, 0.0, 0.5)",3,30.62,192,"[0.7134, 0.5902, 0.5474]","[0.8184, 0.8772, 0.8786]",2023
"(0.5, 0.0, 0.5)",2,19.97,128,"[0.7082, 0.7661]","[0.8558, 0.873]",2024
"(0.5, 0.0, 0.5)",6,65.35,384,"[0.6896, 0.608, 0.3525, 0.2951, 0.2355, 0.1289]","[0.8422, 0.866, 0.886, 0.8808, 0.8917, 0.8916]",2025
"(0.5, 0.1, 0.4)",3,30.57,192,"[0.7134, 0.6242, 0.3954]","[0.8184, 0.8821, 0.8725]",2023
"(0.5, 0.1, 0.4)",2,20.0,128,"[0.7082, 0.7456]","[0.8558, 0.8821]",2024
"(0.5, 0.1, 0.4)",4,42.27,256,"[0.6896, 0.6124, 0.5301, 0.3654]","[0.8422, 0.8621, 0.8786, 0.8857]",2025
"(0.5, 0.2, 0.3)",3,31.44,192,"[0.7134, 0.6104, 0.5797]","[0.8184, 0.8785, 0.8846]",2023
"(0.5, 0.2, 0.3)",2,20.08,128,"[0.7082, 0.6764]","[0.8558, 0.8707]",2024
"(0.5, 0.2, 0.3)",6,66.5,384,"[0.6896, 0.5667, 0.5946, 0.3942, 0.3557, 0.2617]","[0.8422, 0.8692, 0.8811, 0.8859, 0.8984, 0.9004]",2025
"(0.5, 0.3, 0.2)",3,31.38,192,"[0.7134, 0.6856, 0.558]","[0.8184, 0.8761, 0.8771]",2023
"(0.5, 0.3, 0.2)",2,20.04,128,"[0.7082, 0.7347]","[0.8558, 0.8771]",2024
"(0.5, 0.3, 0.2)",6,65.97,384,"[0.6896, 0.6797, 0.6092, 0.4959, 0.366, 0.353]","[0.8422, 0.8729, 0.8854, 0.8916, 0.89, 0.9005]",2025
"(0.5, 0.4, 0.1)",4,42.85,256,"[0.7134, 0.6734, 0.5699, 0.4012]","[0.8184, 0.8638, 0.8788, 0.8858]",2023
"(0.5, 0.4, 0.1)",2,20.69,128,"[0.7082, 0.7507]","[0.8558, 0.8816]",2024
"(0.5, 0.4, 0.1)",6,65.37,384,"[0.6896, 0.7256, 0.6366, 0.4894, 0.2944, 0.2001]","[0.8422, 0.8705, 0.8871, 0.8956, 0.8933, 0.8978]",2025
"(0.5, 0.5, 0.0)",7,79.17,448,"[0.7134, 0.6869, 0.7138, 0.3163, 0.3584, 0.3131, 0.1262]","[0.8184, 0.8613, 0.8858, 0.8849, 0.8926, 0.899, 0.9064]",2023
"(0.5, 0.5, 0.0)",2,20.63,128,"[0.7082, 0.7733]","[0.8558, 0.8796]",2024
"(0.5, 0.5, 0.0)",8,91.75,512,"[0.6896, 0.7068, 0.7578, 0.5667, 0.478, 0.4286, 0.1948, -0.0719]","[0.8422, 0.8743, 0.884, 0.8864, 0.8893, 0.8907, 0.8978, 0.8922]",2025
"(0.6, 0.0, 0.4)",4,41.75,256,"[0.7134, 0.6273, 0.3903, 0.1192]","[0.8184, 0.8699, 0.8727, 0.8711]",2023
"(0.6, 0.0, 0.4)",2,20.01,128,"[0.7082, 0.7096]","[0.8558, 0.8763]",2024
"(0.6, 0.0, 0.4)",4,42.18,256,"[0.6896, 0.5242, 0.3905, 0.1695]","[0.8422, 0.856, 0.8761, 0.8848]",2025
"(0.6, 0.1, 0.3)",4,42.2,256,"[0.7134, 0.6329, 0.475, 0.3987]","[0.8184, 0.8795, 0.8805, 0.8824]",2023
"(0.6, 0.1, 0.3)",2,20.58,128,"[0.7082, 0.7396]","[0.8558, 0.875]",2024
"(0.6, 0.1, 0.3)",4,42.34,256,"[0.6896, 0.5884, 0.4038, 0.1181]","[0.8422, 0.8555, 0.8791, 0.8888]",2025
"(0.6, 0.2, 0.2)",3,31.51,192,"[0.7134, 0.6653, 0.5052]","[0.8184, 0.8766, 0.8787]",2023
"(0.6, 0.2, 0.2)",2,20.28,128,"[0.7082, 0.723]","[0.8558, 0.8691]",2024
"(0.6, 0.2, 0.2)",5,54.0,320,"[0.6896, 0.6862, 0.5402, 0.4316, 0.2266]","[0.8422, 0.8648, 0.8834, 0.891, 0.8931]",2025
"(0.6, 0.3, 0.1)",4,42.66,256,"[0.7134, 0.7465, 0.5738, 0.348]","[0.8184, 0.8766, 0.8846, 0.8852]",2023
"(0.6, 0.3, 0.1)",2,20.11,128,"[0.7082, 0.7067]","[0.8558, 0.8695]",2024
"(0.6, 0.3, 0.1)",5,53.89,320,"[0.6896, 0.6639, 0.6326, 0.503, 0.4072]","[0.8422, 0.8698, 0.8802, 0.8879, 0.8978]",2025
"(0.6, 0.4, 0.0)",6,65.72,384,"[0.7134, 0.7263, 0.5429, 0.3933, 0.2839, 0.1613]","[0.8184, 0.8679, 0.8795, 0.8888, 0.8955, 0.898]",2023
"(0.6, 0.4, 0.0)",2,20.01,128,"[0.7082, 0.7509]","[0.8558, 0.8762]",2024
"(0.6, 0.4, 0.0)",7,77.81,448,"[0.6896, 0.7303, 0.6604, 0.522, 0.4406, 0.3159, 0.1155]","[0.8422, 0.875, 0.875, 0.8865, 0.886, 0.8902, 0.8908]",2025
"(0.7, 0.0, 0.3)",4,42.75,256,"[0.7134, 0.5367, 0.3365, 0.2957]","[0.8184, 0.8684, 0.8683, 0.8759]",2023
"(0.7, 0.0, 0.3)",2,20.55,128,"[0.7082, 0.6812]","[0.8558, 0.866]",2024
"(0.7, 0.0, 0.3)",5,54.68,320,"[0.6896, 0.4234, 0.3505, -0.055, 0.0602]","[0.8422, 0.8523, 0.8721, 0.881, 0.8926]",2025
"(0.7, 0.1, 0.2)",4,42.39,256,"[0.7134, 0.6008, 0.505, 0.3163]","[0.8184, 0.8726, 0.8766, 0.8805]",2023
"(0.7, 0.1, 0.2)",2,20.53,128,"[0.7082, 0.7154]","[0.8558, 0.8723]",2024
"(0.7, 0.1, 0.2)",5,54.01,320,"[0.6896, 0.5903, 0.554, 0.2742, 0.2548]","[0.8422, 0.8524, 0.8778, 0.889, 0.8915]",2025
"(0.7, 0.2, 0.1)",3,31.08,192,"[0.7134, 0.7198, 0.4477]","[0.8184, 0.871, 0.8745]",2023
"(0.7, 0.2, 0.1)",2,20.43,128,"[0.7082, 0.6742]","[0.8558, 0.8724]",2024
"(0.7, 0.2, 0.1)",4,42.87,256,"[0.6896, 0.6476, 0.5748, 0.398]","[0.8422, 0.8639, 0.8816, 0.8867]",2025
"(0.7, 0.3, 0.0)",6,65.81,384,"[0.7134, 0.7233, 0.5885, 0.4539, 0.1848, 0.1349]","[0.8184, 0.8722, 0.8846, 0.8896, 0.8913, 0.8947]",2023
"(0.7, 0.3, 0.0)",2,20.21,128,"[0.7082, 0.7349]","[0.8558, 0.8664]",2024
"(0.7, 0.3, 0.0)",5,54.2,320,"[0.6896, 0.6906, 0.525, 0.2089, 0.0643]","[0.8422, 0.8586, 0.8783, 0.8839, 0.8841]",2025
"(0.8, 0.0, 0.2)",3,31.37,192,"[0.7134, 0.6351, 0.3601]","[0.8184, 0.8677, 0.8645]",2023
"(0.8, 0.0, 0.2)",2,20.57,128,"[0.7082, 0.6207]","[0.8558, 0.869]",2024
"(0.8, 0.0, 0.2)",5,53.52,320,"[0.6896, 0.5017, 0.3221, 0.1453, 0.1462]","[0.8422, 0.8526, 0.8775, 0.8764, 0.8924]",2025
"(0.8, 0.1, 0.1)",4,41.82,256,"[0.7134, 0.7001, 0.5119, 0.2405]","[0.8184, 0.8789, 0.8744, 0.8801]",2023
"(0.8, 0.1, 0.1)",2,20.04,128,"[0.7082, 0.7874]","[0.8558, 0.8704]",2024
"(0.8, 0.1, 0.1)",5,53.26,320,"[0.6896, 0.7189, 0.4515, 0.1389, -0.1072]","[0.8422, 0.8611, 0.8782, 0.8884, 0.8983]",2025
"(0.8, 0.2, 0.0)",5,53.32,320,"[0.7134, 0.638, 0.4987, 0.2035, -0.0702]","[0.8184, 0.871, 0.874, 0.8808, 0.8886]",2023
"(0.8, 0.2, 0.0)",2,19.98,128,"[0.7082, 0.774]","[0.8558, 0.8771]",2024
"(0.8, 0.2, 0.0)",6,65.36,384,"[0.6896, 0.6674, 0.5739, 0.3679, 0.1425, -0.066]","[0.8422, 0.866, 0.8772, 0.8864, 0.8952, 0.8865]",2025
"(0.9, 0.0, 0.1)",3,31.35,192,"[0.7134, 0.559, 0.1993]","[0.8184, 0.8678, 0.8651]",2023
"(0.9, 0.0, 0.1)",2,20.31,128,"[0.7082, 0.5506]","[0.8558, 0.859]",2024
"(0.9, 0.0, 0.1)",5,54.7,320,"[0.6896, 0.5471, 0.2341, -0.0328, 0.0138]","[0.8422, 0.8525, 0.8668, 0.8794, 0.891]",2025
"(0.9, 0.1, 0.0)",5,53.81,320,"[0.7134, 0.4712, 0.0414, -0.0871, -0.0784]","[0.8184, 0.8616, 0.8638, 0.8792, 0.8827]",2023
"(0.9, 0.1, 0.0)",2,20.04,128,"[0.7082, 0.7056]","[0.8558, 0.8621]",2024
"(0.9, 0.1, 0.0)",4,41.81,256,"[0.6896, 0.6469, 0.4468, 0.1284]","[0.8422, 0.8547, 0.871, 0.8856]",2025
"(1.0, 0.0, 0.0)",5,53.27,320,"[0.7134, 0.3701, -0.0742, -0.2533, -0.7415]","[0.8184, 0.8542, 0.8558, 0.8566, 0.8662]",2023
"(1.0, 0.0, 0.0)",2,19.97,128,"[0.7082, 0.6356]","[0.8558, 0.8633]",2024
"(1.0, 0.0, 0.0)",3,30.66,192,"[0.6896, 0.2598, 0.2576]","[0.8422, 0.8433, 0.8723]",2025
