measure_size,weights,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.6, 0.1, 0.3)",2,0,1,10.23,64,[0.6067],[0.8456],2015
64,"(0.6, 0.1, 0.3)",2,0,2,20.6,128,"[0.7192, 0.6451]","[0.8675, 0.8665]",2016
64,"(0.6, 0.1, 0.3)",2,0,3,31.16,192,"[0.7414, 0.5045, 0.2085]","[0.8528, 0.8646, 0.8879]",2017
64,"(0.6, 0.1, 0.3)",2,0,3,31.86,192,"[0.6818, 0.7145, 0.2744]","[0.8414, 0.8471, 0.8715]",2018
64,"(0.6, 0.1, 0.3)",2,0,2,20.35,128,"[0.763, 0.5454]","[0.8528, 0.8592]",2019
