measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,1,5.34,64,0,[0.6151],[None],2000
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,1,5.23,64,0,[0.6588],[None],2001
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,1,5.52,64,1,[0.5308],[None],2002
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,1,5.54,64,0,[0.5791],[None],2003
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,1,5.47,64,0,[0.6573],[None],2004
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,1,5.55,64,0,[0.5295],[None],2005
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,1,5.58,64,0,[0.5873],[None],2006
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,3,17.57,192,0,"[0.6274, 0.4011, 0.4151]","[None, None, None]",2007
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,1,5.68,64,1,[0.5004],[None],2008
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,1,5.72,64,0,[0.5273],[None],2009
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,1,5.75,64,0,[0.4897],[None],2010
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,1,5.78,64,1,[0.5822],[None],2011
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,1,5.86,64,0,[0.6626],[None],2012
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,2,11.26,128,0,"[0.5406, 0.4415]","[None, None]",2013
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,3,17.02,192,0,"[0.6484, 0.4636, 0.3728]","[None, None, None]",2014
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,8,48.53,512,0,"[0.4028, 0.2855, 0.2074, 0.2039, 0.1826, 0.1688, 0.1002, 0.2174]","[None, None, None, None, None, None, None, None]",2015
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,1,5.6,64,0,[0.5065],[None],2016
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,1,5.56,64,0,[0.7103],[None],2017
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,2,11.46,128,1,"[0.5859, 0.4509]","[None, None]",2018
64,False,False,1e-05,1e-05,0,"(1.0, 0.0, 0.0)",64,0,4,1,5.63,64,0,[0.5618],[None],2019
64,False,False,1e-05,1e-05,200,"(1.0, 0.0, 0.0)",64,0,4,1,5.62,64,0,[0.6877],[None],2000
64,False,False,1e-05,1e-05,200,"(1.0, 0.0, 0.0)",64,0,4,1,5.61,64,0,[0.6692],[None],2001
64,False,False,1e-05,1e-05,200,"(1.0, 0.0, 0.0)",64,0,4,1,5.64,64,1,[0.6337],[None],2002
64,False,False,1e-05,1e-05,200,"(1.0, 0.0, 0.0)",64,0,4,1,5.64,64,0,[0.6416],[None],2003
64,False,False,1e-05,1e-05,200,"(1.0, 0.0, 0.0)",64,0,4,1,5.62,64,0,[0.725],[None],2004
64,False,False,1e-05,1e-05,200,"(1.0, 0.0, 0.0)",64,0,4,1,5.61,64,0,[0.6079],[None],2005
64,False,False,1e-05,1e-05,200,"(1.0, 0.0, 0.0)",64,0,4,1,5.62,64,0,[0.6632],[None],2006
64,False,False,1e-05,1e-05,200,"(1.0, 0.0, 0.0)",64,0,4,2,11.68,128,0,"[0.6755, 0.5177]","[None, None]",2007
64,False,False,1e-05,1e-05,200,"(1.0, 0.0, 0.0)",64,0,4,1,5.65,64,1,[0.5511],[None],2008
64,False,False,1e-05,1e-05,200,"(1.0, 0.0, 0.0)",64,0,4,1,5.78,64,0,[0.6332],[None],2009
64,False,False,1e-05,1e-05,200,"(1.0, 0.0, 0.0)",64,0,4,1,5.74,64,0,[0.6518],[None],2010
64,False,False,1e-05,1e-05,200,"(1.0, 0.0, 0.0)",64,0,4,1,5.66,64,1,[0.6559],[None],2011
