,encoder_freeze,scratch,measure_size,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_pair,margin_scale,lambda_smooth,lambda_infonce,tau,tau_c,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed
0,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,1,64,0,4.27,[0.6899],[None],2000
1,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,1,64,0,4.1,[0.5368],[None],2001
2,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,1,64,1,4.07,[0.6825],[None],2002
3,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,2,128,1,8.33,"[0.6429, 0.656]","[None, None]",2003
4,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,1,64,0,4.04,[0.6924],[None],2004
5,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,1,64,0,4.08,[0.6348],[None],2005
6,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,1,64,0,4.18,[0.6384],[None],2006
7,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,3,192,0,12.83,"[0.5958, 0.6619, 0.6044]","[None, None, None]",2007
8,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,1,64,1,4.06,[0.4304],[None],2008
9,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,1,64,0,4.06,[0.634],[None],2009
10,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,1,64,0,4.13,[0.6416],[None],2010
11,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,1,64,0,4.05,[0.6296],[None],2011
12,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,1,64,0,4.05,[0.5805],[None],2012
13,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,3,192,0,12.8,"[0.6721, 0.7235, 0.6719]","[None, None, None]",2013
14,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,1,64,0,4.06,[0.6612],[None],2014
15,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,3,192,0,13.01,"[0.661, 0.656, 0.6923]","[None, None, None]",2015
16,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,3,192,0,12.81,"[0.5786, 0.456, 0.4821]","[None, None, None]",2016
17,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,1,64,0,4.1,[0.6953],[None],2017
18,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,2,128,1,8.75,"[0.5817, 0.6241]","[None, None]",2018
19,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.05,0.1,,1,64,0,4.86,[0.6112],[None],2019
