,encoder_freeze,scratch,measure_size,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_pair,margin_scale,lambda_smooth,lambda_infonce,tau,tau_c,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed
0,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.1,0.1,,1,64,1,4.28,[0.688],[None],2000
1,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.1,0.1,,1,64,0,4.12,[0.5186],[None],2001
2,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.1,0.1,,1,64,1,4.06,[0.6809],[None],2002
3,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.1,0.1,,2,128,1,8.36,"[0.6338, 0.6401]","[None, None]",2003
4,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.1,0.1,,1,64,0,4.11,[0.6843],[None],2004
5,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.1,0.1,,1,64,0,4.05,[0.6287],[None],2005
6,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.1,0.1,,1,64,0,4.06,[0.6365],[None],2006
7,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.1,0.1,,3,192,1,13.01,"[0.5942, 0.6341, 0.5982]","[None, None, None]",2007
8,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.1,0.1,,1,64,1,4.19,[0.4199],[None],2008
9,False,False,64,"(0.4, 0.3, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,0.1,0.1,,1,64,0,4.23,[0.6297],[None],2009
