scratch,encoder_freeze,measure_size,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,T_mc,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
False,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.62,128,1,"[0.6567, 0.669]","[None, None]",2003
False,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.25,64,0,[0.6986],[None],2004
False,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.32,64,0,[0.6355],[None],2005
False,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.37,64,0,[0.6524],[None],2006
False,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,4,14.45,256,0,"[0.5969, 0.5409, 0.5683, 0.5194]","[None, None, None, None]",2007
False,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.23,64,1,[0.4725],[None],2008
False,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,0,[0.6394],[None],2009
False,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,0,[0.6379],[None],2010
False,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,0,[0.6312],[None],2011
False,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.21,64,0,[0.6033],[None],2012
False,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.61,128,0,"[0.6678, 0.6475]","[None, None]",2013
False,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,3,10.22,192,0,"[0.674, 0.6018, 0.5547]","[None, None, None]",2014
False,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.62,128,0,"[0.657, 0.6576]","[None, None]",2015
False,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,3,10.18,192,1,"[0.5973, 0.4523, 0.4363]","[None, None, None]",2016
False,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,0,[0.7037],[None],2017
False,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.62,128,0,"[0.5917, 0.5562]","[None, None]",2018
False,False,64,1e-05,0.0001,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.28,64,0,[0.6034],[None],2019
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.34,64,0,[0.6151],[None],2000
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.23,64,0,[0.6588],[None],2001
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,1,[0.5308],[None],2002
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.85,128,0,"[0.5791, 0.4955]","[None, None]",2003
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.32,64,0,[0.6573],[None],2004
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.32,64,0,[0.5295],[None],2005
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.33,64,0,[0.5873],[None],2006
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.93,128,0,"[0.6274, 0.4568]","[None, None]",2007
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.35,64,1,[0.5004],[None],2008
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.33,64,0,[0.5273],[None],2009
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.34,64,0,[0.4897],[None],2010
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.32,64,1,[0.5822],[None],2011
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.87,128,0,"[0.6626, 0.5782]","[None, None]",2012
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.72,128,0,"[0.5406, 0.3737]","[None, None]",2013
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.6484],[None],2014
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,4,13.99,256,0,"[0.4028, 0.3027, 0.1959, 0.1971]","[None, None, None, None]",2015
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.21,64,0,[0.5065],[None],2016
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.6,128,0,"[0.7103, 0.5465]","[None, None]",2017
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.61,128,1,"[0.5859, 0.4692]","[None, None]",2018
False,False,64,1e-05,1e-05,0,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.21,64,0,[0.5618],[None],2019
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.21,64,0,[0.6717],[None],2000
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.667],[None],2001
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.22,64,1,[0.6109],[None],2002
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.59,128,0,"[0.6247, 0.5676]","[None, None]",2003
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.25,64,0,[0.7093],[None],2004
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.5795],[None],2005
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.6447],[None],2006
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.59,128,0,"[0.6641, 0.5073]","[None, None]",2007
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,1,[0.5354],[None],2008
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.6007],[None],2009
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,0,[0.6203],[None],2010
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,1,[0.6386],[None],2011
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.664],[None],2012
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.62,128,0,"[0.6219, 0.4405]","[None, None]",2013
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.6,128,0,"[0.6871, 0.4931]","[None, None]",2014
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.6,128,0,"[0.5352, 0.3831]","[None, None]",2015
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.5791],[None],2016
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.7361],[None],2017
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.59,128,0,"[0.6181, 0.5105]","[None, None]",2018
False,False,64,1e-05,1e-05,100,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.6024],[None],2019
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.26,64,0,[0.6877],[None],2000
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.19,64,0,[0.6692],[None],2001
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,1,[0.6337],[None],2002
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,2,6.6,128,0,"[0.6416, 0.5679]","[None, None]",2003
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,0,[0.725],[None],2004
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,0,[0.6079],[None],2005
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,0,[0.6632],[None],2006
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,3,10.36,192,0,"[0.6755, 0.5263, 0.5527]","[None, None, None]",2007
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,1,[0.5511],[None],2008
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.2,64,0,[0.6332],[None],2009
False,False,64,1e-05,1e-05,200,"(0.7, 0.3, 0.0)",64,20,2,0,1,3.28,64,0,[0.6518],[None],2010
