measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,3,3.61,192,"[0.4381, 0.481, 0.4759]",[],2000
64,3,3.48,192,"[0.5401, 0.5633, 0.597]",[],2001
