measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.14,128,"[0.5561, 0.5228]","[None, None]",2000
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,[0.1953],[None],2001
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.36,64,[0.6326],[None],2002
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.0,128,"[0.6524, 0.4573]","[None, None]",2003
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.19,128,"[0.3201, 0.5494]","[None, None]",2004
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.03,128,"[0.5895, 0.5693]","[None, None]",2005
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.35,128,"[0.4989, 0.5462]","[None, None]",2006
