measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.18,128,"[0.5411, 0.4754]","[None, None]",2000
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.48,64,[0.1779],[None],2001
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.49,64,[0.674],[None],2002
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.29,128,"[0.632, 0.6386]","[None, None]",2003
64,"(0.4, 0.3, 0.3)",64,4,0,6,24.99,384,"[0.2737, 0.5133, 0.6224, 0.5956, 0.5751, 0.5803]","[None, None, None, None, None, None]",2004
