measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,3,4.03,192,"[0.4698, 0.5222, 0.5323]",[],2000
64,4,4.85,256,"[0.5438, 0.581, 0.6565, 0.616]",[],2001
64,5,5.82,320,"[0.6159, 0.6019, 0.6477, 0.602, 0.6259]",[],2002
64,4,4.81,256,"[0.5736, 0.5157, 0.62, 0.661]",[],2003
64,2,3.28,128,"[0.463, 0.599]",[],2004
64,2,3.34,128,"[0.3881, 0.5376]",[],2005
64,4,4.93,256,"[0.5962, 0.5675, 0.4604, 0.5493]",[],2006
64,2,3.33,128,"[0.4937, 0.4923]",[],2007
64,3,4.06,192,"[0.5632, 0.6486, 0.608]",[],2008
64,2,3.37,128,"[0.3922, 0.549]",[],2009
