measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,2,3.09,128,"[0.4757, 0.5765]",[],2000
64,3,3.51,192,"[0.537, 0.5749, 0.5439]",[],2001
64,5,4.5,320,"[0.6102, 0.4919, 0.5061, 0.5679, 0.5343]",[],2002
64,2,3.1,128,"[0.578, 0.5114]",[],2003
64,3,3.52,192,"[0.4838, 0.5974, 0.6217]",[],2004
64,4,4.01,256,"[0.3872, 0.5023, 0.4716, 0.5802]",[],2005
64,3,3.47,192,"[0.5807, 0.2938, 0.4298]",[],2006
64,2,3.14,128,"[0.4993, 0.541]",[],2007
64,3,3.47,192,"[0.5457, 0.6126, 0.5631]",[],2008
64,4,4.17,256,"[0.3309, 0.6872, 0.534, 0.5741]",[],2009
