measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
48,2,3.44,96,"[0.4882, 0.4417]",[],2000
48,1,2.95,48,[0.4307],[],2001
48,6,7.1,288,"[0.2634, 0.3554, 0.4879, 0.5216, 0.5675, 0.6212]",[],2002
48,1,3.0,48,[0.3494],[],2003
48,1,2.96,48,[0.5181],[],2004
48,4,4.83,192,"[0.5073, 0.6149, 0.5392, 0.5336]",[],2005
48,3,4.09,144,"[0.4913, 0.4756, 0.5574]",[],2006
48,5,5.81,240,"[0.42, 0.4587, 0.5158, 0.5767, 0.539]",[],2007
48,2,3.5,96,"[0.4991, 0.5784]",[],2008
48,3,4.21,144,"[0.4288, 0.4925, 0.4731]",[],2009
48,4,4.89,192,"[0.5114, 0.2825, 0.351, 0.5226]",[],2010
48,4,4.93,192,"[0.5111, 0.4782, 0.5186, 0.5539]",[],2011
48,4,4.8,192,"[0.4624, 0.4939, 0.4815, 0.5322]",[],2012
48,4,4.92,192,"[0.3813, 0.5961, 0.5889, 0.5852]",[],2013
48,7,8.04,336,"[0.495, 0.3071, 0.4946, 0.407, 0.4583, 0.5121, 0.449]",[],2014
48,3,4.15,144,"[0.5343, 0.5018, 0.5107]",[],2015
48,3,4.03,144,"[-0.9906, 0.4021, 0.5811]",[],2016
48,3,4.02,144,"[0.3378, 0.5112, 0.4133]",[],2017
48,2,3.49,96,"[0.4577, 0.4918]",[],2018
48,4,4.82,192,"[0.3891, 0.4903, 0.5254, 0.5496]",[],2019
