measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,2,3.45,128,"[0.4427, 0.5904]",[],2000
64,2,3.52,128,"[0.5552, 0.5822]",[],2001
64,3,4.2,192,"[0.611, 0.5704, 0.6495]",[],2002
64,3,4.19,192,"[0.5537, 0.5622, 0.6258]",[],2003
64,2,3.51,128,"[0.4739, 0.5612]",[],2004
64,2,3.52,128,"[0.3781, 0.52]",[],2005
64,1,2.93,64,[0.5453],[],2006
64,2,3.5,128,"[0.4596, 0.4017]",[],2007
64,4,5.06,256,"[0.4881, 0.6293, 0.5753, 0.5995]",[],2008
64,5,6.38,320,"[0.3591, 0.4776, 0.6284, 0.6224, 0.6279]",[],2009
64,3,4.2,192,"[0.3597, 0.5938, 0.6239]",[],2010
64,2,3.55,128,"[0.5694, 0.5408]",[],2011
64,4,5.16,256,"[0.5628, 0.5472, 0.4836, 0.5068]",[],2012
64,2,3.49,128,"[0.4412, 0.4083]",[],2013
64,5,6.15,320,"[0.3738, 0.3837, 0.5485, 0.6452, 0.6116]",[],2014
64,4,5.11,256,"[0.3995, 0.5907, 0.6624, 0.4983]",[],2015
64,2,3.52,128,"[0.4996, 0.5596]",[],2016
64,3,4.29,192,"[0.5484, 0.5307, 0.5939]",[],2017
64,2,3.55,128,"[0.4899, 0.6207]",[],2018
64,3,4.21,192,"[0.5278, 0.4921, 0.5687]",[],2019
