measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,2,3.51,128,"[0.4737, 0.4882]",[],2000
64,2,3.45,128,"[0.5418, 0.559]",[],2001
64,7,8.49,448,"[0.6098, 0.5756, 0.5819, 0.5624, 0.5702, 0.5818, 0.6573]",[],2002
64,2,3.44,128,"[0.5896, 0.53]",[],2003
64,3,4.18,192,"[0.4878, 0.5405, 0.6022]",[],2004
64,2,3.55,128,"[0.3978, 0.5422]",[],2005
64,2,3.52,128,"[0.5833, 0.5331]",[],2006
64,3,4.22,192,"[0.4662, 0.5166, 0.5835]",[],2007
64,4,5.09,256,"[0.5074, 0.6561, 0.6557, 0.568]",[],2008
64,4,5.09,256,"[0.335, 0.6724, 0.6139, 0.618]",[],2009
64,1,2.94,64,[0.3708],[],2010
64,3,4.25,192,"[0.584, 0.514, 0.558]",[],2011
64,3,4.23,192,"[0.5811, 0.4798, 0.42]",[],2012
64,2,3.46,128,"[0.4422, 0.4811]",[],2013
64,4,5.09,256,"[0.3746, 0.4318, 0.4748, 0.6113]",[],2014
64,4,5.13,256,"[0.4211, 0.5897, 0.6104, 0.6945]",[],2015
64,2,3.52,128,"[0.5566, 0.5855]",[],2016
64,4,5.01,256,"[0.5561, 0.4635, 0.4683, 0.5814]",[],2017
64,2,3.55,128,"[0.4804, 0.6075]",[],2018
64,4,5.06,256,"[0.5398, 0.4677, 0.6182, 0.6066]",[],2019
