,measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed,rank_warmup_epochs,scratch,encoder_freeze
71,64,4,5.29,256,"[0.5707, 0.4798, 0.5334, 0.5967]",[],2011,0,False,False
72,64,2,3.52,128,"[0.5848, 0.5551]",[],2012,0,False,False
73,64,4,5.11,256,"[0.3748, 0.3292, 0.4591, 0.5155]",[],2013,0,False,False
74,64,6,7.47,384,"[0.5049, 0.3832, 0.4193, 0.4431, 0.5537, 0.5716]",[],2014,0,False,False
75,64,3,4.12,192,"[0.404, 0.5848, 0.6582]",[],2015,0,False,False
76,64,3,4.26,192,"[0.4961, 0.453, 0.5585]",[],2016,0,False,False
77,64,2,3.46,128,"[0.547, 0.5545]",[],2017,0,False,False
78,64,2,3.53,128,"[0.4936, 0.6265]",[],2018,0,False,False
79,64,9,12.37,576,"[0.5159, 0.4776, 0.635, 0.5977, 0.5502, 0.5602, 0.4997, 0.556, 0.4991]",[],2019,0,False,False
80,64,2,3.55,128,"[0.4585, 0.4967]",[],2000,0,False,False
81,64,2,3.47,128,"[0.5332, 0.5384]",[],2001,0,False,False
82,64,3,4.29,192,"[0.6223, 0.6264, 0.5971]",[],2002,0,False,False
83,64,3,4.1,192,"[0.5759, 0.5039, 0.5463]",[],2003,0,False,False
84,64,3,4.14,192,"[0.4273, 0.5808, 0.5833]",[],2004,0,False,False
85,64,4,5.0,256,"[0.3876, 0.5529, 0.5107, 0.5628]",[],2005,0,False,False
86,64,2,3.45,128,"[0.575, 0.5886]",[],2006,0,False,False
87,64,2,3.51,128,"[0.4593, 0.5253]",[],2007,0,False,False
88,64,4,4.95,256,"[0.5142, 0.6218, 0.6157, 0.6354]",[],2008,0,False,False
89,64,4,5.09,256,"[0.3558, 0.6853, 0.5764, 0.592]",[],2009,0,False,False
90,64,2,3.47,128,"[0.38, 0.5282]",[],2010,0,False,False
91,64,4,5.07,256,"[0.5722, 0.6199, 0.5702, 0.6474]",[],2011,0,False,False
92,64,2,3.44,128,"[0.5864, 0.5358]",[],2012,0,False,False
93,64,2,3.47,128,"[0.4156, 0.4796]",[],2013,0,False,False
94,64,4,5.13,256,"[0.3971, 0.4655, 0.5644, 0.6553]",[],2014,0,False,False
95,64,4,5.01,256,"[0.4241, 0.5772, 0.6317, 0.6375]",[],2015,0,False,False
96,64,2,3.55,128,"[0.5242, 0.4624]",[],2016,0,False,False
97,64,2,3.51,128,"[0.5814, 0.4978]",[],2017,0,False,False
98,64,4,5.09,256,"[0.4973, 0.6346, 0.6319, 0.5772]",[],2018,0,False,False
99,64,3,4.11,192,"[0.5363, 0.4651, 0.5549]",[],2019,0,False,False
100,48,3,4.12,144,"[0.5003, 0.5136, 0.5177]",[],2000,0,False,False
101,48,1,2.97,48,[0.4817],[],2001,0,False,False
102,48,4,4.96,192,"[0.2632, 0.3758, 0.5774, 0.455]",[],2002,0,False,False
103,48,1,2.94,48,[0.4036],[],2003,0,False,False
104,48,1,2.96,48,[0.5089],[],2004,0,False,False
105,48,2,3.43,96,"[0.5004, 0.5246]",[],2005,0,False,False
106,48,4,4.93,192,"[0.4804, 0.5298, 0.532, 0.6028]",[],2006,0,False,False
107,48,4,4.95,192,"[0.3314, 0.5603, 0.514, 0.58]",[],2007,0,False,False
108,48,2,3.42,96,"[0.5122, 0.61]",[],2008,0,False,False
109,48,3,4.16,144,"[0.3613, 0.4991, 0.6226]",[],2009,0,False,False
110,48,3,4.08,144,"[0.4854, 0.4916, 0.5348]",[],2010,0,False,False
111,48,7,7.99,336,"[0.5139, 0.5217, 0.4978, 0.5641, 0.5594, 0.5404, 0.5067]",[],2011,0,False,False
112,48,2,3.5,96,"[0.456, 0.3382]",[],2012,0,False,False
113,48,4,4.84,192,"[0.4157, 0.6047, 0.5656, 0.6517]",[],2013,0,False,False
114,48,4,4.97,192,"[0.4857, 0.423, 0.379, 0.4957]",[],2014,0,False,False
115,48,4,4.94,192,"[0.5169, 0.3863, 0.5767, 0.5144]",[],2015,0,False,False
116,48,4,4.95,192,"[-1.0504, 0.4052, 0.6136, 0.5095]",[],2016,0,False,False
117,48,2,3.51,96,"[0.365, 0.4843]",[],2017,0,False,False
118,48,2,3.6,96,"[0.4747, 0.5435]",[],2018,0,False,False
119,48,2,3.43,96,"[0.3902, 0.3845]",[],2019,0,False,False
120,64,2,3.57,128,"[0.4547, 0.489]",[],2000,0,False,False
121,64,3,4.13,192,"[0.5433, 0.5636, 0.6712]",[],2001,0,False,False
122,64,6,7.33,384,"[0.6255, 0.4681, 0.5927, 0.6718, 0.6482, 0.6609]",[],2002,0,False,False
123,64,3,4.18,192,"[0.5862, 0.4752, 0.5982]",[],2003,0,False,False
124,64,4,5.14,256,"[0.4647, 0.5131, 0.5286, 0.4733]",[],2004,0,False,False
125,64,4,5.17,256,"[0.3901, 0.407, 0.4877, 0.5069]",[],2005,0,False,False
126,64,1,2.96,64,[0.5244],[],2006,0,False,False
127,64,2,3.5,128,"[0.4921, 0.577]",[],2007,0,False,False
128,64,2,3.47,128,"[0.4989, 0.6216]",[],2008,0,False,False
129,64,3,4.16,192,"[0.3666, 0.5786, 0.5925]",[],2009,0,False,False
130,64,1,3.02,64,[0.379],[],2010,0,False,False
131,64,2,3.4,128,"[0.5684, 0.5889]",[],2011,0,False,False
132,64,5,6.14,320,"[0.5625, 0.5577, 0.5735, 0.6169, 0.5622]",[],2012,0,False,False
133,64,3,4.19,192,"[0.3752, 0.378, 0.4312]",[],2013,0,False,False
134,64,1,2.95,64,[0.5021],[],2014,0,False,False
135,64,5,6.09,320,"[0.3963, 0.547, 0.5749, 0.6809, 0.6142]",[],2015,0,False,False
136,64,2,3.49,128,"[0.5186, 0.4875]",[],2016,0,False,False
137,64,3,4.15,192,"[0.5255, 0.6076, 0.6415]",[],2017,0,False,False
138,64,3,4.21,192,"[0.4762, 0.5517, 0.6144]",[],2018,0,False,False
139,64,3,4.19,192,"[0.5331, 0.462, 0.5645]",[],2019,0,False,False
140,64,2,3.49,128,"[0.45, 0.518]",[],2000,0,False,False
141,64,3,4.14,192,"[0.5136, 0.6011, 0.572]",[],2001,0,False,False
142,64,2,3.55,128,"[0.616, 0.6358]",[],2002,0,False,False
143,64,2,3.47,128,"[0.5947, 0.5248]",[],2003,0,False,False
144,64,5,6.08,320,"[0.5023, 0.5211, 0.5672, 0.5625, 0.5785]",[],2004,0,False,False
145,64,3,4.15,192,"[0.3583, 0.2823, 0.4395]",[],2005,0,False,False
146,64,1,3.02,64,[0.5476],[],2006,0,False,False
147,64,2,3.55,128,"[0.4618, 0.42]",[],2007,0,False,False
148,64,3,4.11,192,"[0.4843, 0.639, 0.6021]",[],2008,0,False,False
149,64,5,6.06,320,"[0.3816, 0.5391, 0.5858, 0.6648, 0.6203]",[],2009,0,False,False
150,64,1,2.93,64,[0.3783],[],2010,0,False,False
151,64,4,5.08,256,"[0.5703, 0.4396, 0.6366, 0.5977]",[],2011,0,False,False
152,64,3,4.2,192,"[0.5742, 0.4296, 0.4928]",[],2012,0,False,False
153,64,4,4.97,256,"[0.4197, 0.3316, 0.5481, 0.5772]",[],2013,0,False,False
154,64,3,4.25,192,"[0.392, 0.5386, 0.5717]",[],2014,0,False,False
155,64,5,6.13,320,"[0.4165, 0.6136, 0.6599, 0.5949, 0.6903]",[],2015,0,False,False
156,64,3,4.26,192,"[0.5111, 0.5712, 0.5665]",[],2016,0,False,False
157,64,5,6.24,320,"[0.533, 0.5413, 0.6018, 0.6273, 0.669]",[],2017,0,False,False
158,64,3,4.25,192,"[0.4888, 0.6108, 0.5838]",[],2018,0,False,False
159,64,4,5.06,256,"[0.5346, 0.5091, 0.5693, 0.5857]",[],2019,0,False,False
160,64,2,3.09,128,"[0.4757, 0.5765]",[],2000,0,False,False
161,64,3,3.51,192,"[0.537, 0.5749, 0.5439]",[],2001,0,False,False
162,64,5,4.5,320,"[0.6102, 0.4919, 0.5061, 0.5679, 0.5343]",[],2002,0,False,False
163,64,2,3.1,128,"[0.578, 0.5114]",[],2003,0,False,False
