measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
48,2,3.53,96,"[0.4909, 0.4998]",[],2000
48,1,3.05,48,[0.4716],[],2001
48,2,3.53,96,"[0.2987, 0.5204]",[],2002
48,1,3.0,48,[0.3409],[],2003
48,1,2.96,48,[0.5199],[],2004
48,4,4.89,192,"[0.5103, 0.4934, 0.6066, 0.6024]",[],2005
48,5,5.83,240,"[0.4881, 0.5091, 0.5719, 0.5773, 0.5958]",[],2006
48,5,5.84,240,"[0.415, 0.5025, 0.5548, 0.5559, 0.5676]",[],2007
48,5,5.8,240,"[0.5112, 0.6353, 0.6612, 0.6512, 0.6384]",[],2008
48,3,4.19,144,"[0.4392, 0.5013, 0.5549]",[],2009
48,4,4.86,192,"[0.518, 0.4036, 0.4399, 0.4706]",[],2010
48,4,4.92,192,"[0.4979, 0.5372, 0.3418, 0.4198]",[],2011
48,5,5.81,240,"[0.4487, 0.2948, 0.288, 0.2114, 0.4604]",[],2012
48,2,3.53,96,"[0.4156, 0.6375]",[],2013
48,7,8.23,336,"[0.4618, 0.4294, 0.4286, 0.4343, 0.4935, 0.5451, 0.6063]",[],2014
48,4,4.97,192,"[0.5494, 0.5854, 0.6577, 0.6058]",[],2015
48,4,4.93,192,"[-0.9988, 0.4584, 0.5503, 0.5748]",[],2016
48,4,4.92,192,"[0.3358, 0.5025, 0.4855, 0.58]",[],2017
48,3,4.11,144,"[0.4704, 0.5167, 0.5278]",[],2018
48,3,4.14,144,"[0.3943, 0.4706, 0.6005]",[],2019
