measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,2,3.55,128,"[0.4585, 0.4967]",[],2000
64,2,3.47,128,"[0.5332, 0.5384]",[],2001
64,3,4.29,192,"[0.6223, 0.6264, 0.5971]",[],2002
64,3,4.1,192,"[0.5759, 0.5039, 0.5463]",[],2003
64,3,4.14,192,"[0.4273, 0.5808, 0.5833]",[],2004
64,4,5.0,256,"[0.3876, 0.5529, 0.5107, 0.5628]",[],2005
64,2,3.45,128,"[0.575, 0.5886]",[],2006
64,2,3.51,128,"[0.4593, 0.5253]",[],2007
64,4,4.95,256,"[0.5142, 0.6218, 0.6157, 0.6354]",[],2008
64,4,5.09,256,"[0.3558, 0.6853, 0.5764, 0.592]",[],2009
64,2,3.47,128,"[0.38, 0.5282]",[],2010
64,4,5.07,256,"[0.5722, 0.6199, 0.5702, 0.6474]",[],2011
64,2,3.44,128,"[0.5864, 0.5358]",[],2012
64,2,3.47,128,"[0.4156, 0.4796]",[],2013
64,4,5.13,256,"[0.3971, 0.4655, 0.5644, 0.6553]",[],2014
64,4,5.01,256,"[0.4241, 0.5772, 0.6317, 0.6375]",[],2015
64,2,3.55,128,"[0.5242, 0.4624]",[],2016
64,2,3.51,128,"[0.5814, 0.4978]",[],2017
64,4,5.09,256,"[0.4973, 0.6346, 0.6319, 0.5772]",[],2018
64,3,4.11,192,"[0.5363, 0.4651, 0.5549]",[],2019
