measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
48,2,3.53,96,"[0.4671, 0.5804]",[],2000
48,1,2.96,48,[0.4124],[],2001
48,2,3.45,96,"[0.2857, 0.5203]",[],2002
48,1,2.99,48,[0.3647],[],2003
48,1,2.99,48,[0.5382],[],2004
48,4,4.87,192,"[0.5018, 0.5546, 0.4699, 0.5855]",[],2005
48,4,5.03,192,"[0.4808, 0.5226, 0.5154, 0.5747]",[],2006
48,4,4.85,192,"[0.4234, 0.5879, 0.466, 0.5129]",[],2007
48,4,4.92,192,"[0.4973, 0.5844, 0.5457, 0.5858]",[],2008
48,3,4.14,144,"[0.4256, 0.5239, 0.4775]",[],2009
48,7,8.19,336,"[0.5112, 0.3847, 0.4779, 0.4328, 0.5524, 0.5292, 0.6754]",[],2010
48,5,5.77,240,"[0.5004, 0.5801, 0.6131, 0.5143, 0.5436]",[],2011
48,2,3.44,96,"[0.446, 0.4067]",[],2012
48,3,4.24,144,"[0.3934, 0.5825, 0.5725]",[],2013
48,9,10.82,432,"[0.4923, 0.4648, 0.5369, 0.4579, 0.4692, 0.4474, 0.4919, 0.4352, 0.4995]",[],2014
48,6,6.73,288,"[0.5557, 0.5273, 0.4775, 0.5706, 0.5941, 0.6078]",[],2015
48,3,4.13,144,"[-0.8679, 0.3514, 0.5213]",[],2016
48,2,3.54,96,"[0.3608, 0.4014]",[],2017
48,2,3.47,96,"[0.478, 0.5195]",[],2018
48,2,3.59,96,"[0.3891, 0.5696]",[],2019
