lambda_reg,lambda_pair,margin_scale,gamma,beta,noise_std,alpha,encoder_lr,feature_predictor_lr,cost_predictor_lr,use_feature,mean_reg_r2,std_reg_r2,mean_rank_r2,std_rank_r2
0.01,1.0,0.3,0.01,0.01,0.001,0.0001,5e-05,0.0001,0.01,False,0.4065,0.0765,0.7755,0.0261
0.01,1.0,0.3,0.01,0.01,0.001,0.0001,5e-05,0.0001,0.01,True,0.4103,0.0873,0.7774,0.0175
0.01,1.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.0001,0.01,False,0.4065,0.0765,0.7739,0.0144
0.01,1.0,0.3,0.01,0.01,0.001,0.001,5e-05,0.0001,0.01,True,0.383,0.1245,0.7753,0.0134
0.01,1.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.0001,0.01,False,0.33,0.1377,0.7832,0.0045
0.01,1.0,0.3,0.01,0.01,0.01,0.0001,5e-05,0.0001,0.01,True,0.384,0.0512,0.779,0.0164
0.01,1.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.0001,0.01,False,0.33,0.1377,0.7805,0.0156
0.01,1.0,0.3,0.01,0.01,0.01,0.001,5e-05,0.0001,0.01,True,0.2969,0.1595,0.7734,0.0137
0.01,1.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.0001,0.01,False,0.4147,0.0087,0.7941,0.0003
0.01,1.0,0.3,0.01,0.1,0.001,0.0001,5e-05,0.0001,0.01,True,0.4649,0.0292,0.7923,0.0111
0.01,1.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.0001,0.01,False,0.4147,0.0087,0.7874,0.0035
0.01,1.0,0.3,0.01,0.1,0.001,0.001,5e-05,0.0001,0.01,True,0.4174,0.0061,0.7752,0.0019
0.01,1.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.0001,0.01,False,0.359,0.0091,0.7893,0.0068
0.01,1.0,0.3,0.01,0.1,0.01,0.0001,5e-05,0.0001,0.01,True,0.4051,0.0136,0.7921,0.0091
0.01,1.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.0001,0.01,False,0.359,0.0091,0.79,0.003
0.01,1.0,0.3,0.01,0.1,0.01,0.001,5e-05,0.0001,0.01,True,0.3882,0.0364,0.7995,0.0088
0.01,1.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.0001,0.01,False,0.4005,0.1125,0.7748,0.0062
0.01,1.0,0.3,0.1,0.01,0.001,0.0001,5e-05,0.0001,0.01,True,0.3725,0.0201,0.7852,0.0075
0.01,1.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.0001,0.01,False,0.4005,0.1125,0.7799,0.0049
0.01,1.0,0.3,0.1,0.01,0.001,0.001,5e-05,0.0001,0.01,True,0.3845,0.068,0.7745,0.0011
0.01,1.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.0001,0.01,False,0.3819,0.0704,0.7711,0.0011
0.01,1.0,0.3,0.1,0.01,0.01,0.0001,5e-05,0.0001,0.01,True,0.3901,0.0438,0.7735,0.0014
0.01,1.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.0001,0.01,False,0.3819,0.0704,0.7824,0.0033
0.01,1.0,0.3,0.1,0.01,0.01,0.001,5e-05,0.0001,0.01,True,0.3343,0.1027,0.7719,0.003
0.01,1.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.0001,0.01,False,0.4159,0.0263,0.7973,0.0041
0.01,1.0,0.3,0.1,0.1,0.001,0.0001,5e-05,0.0001,0.01,True,0.3942,0.086,0.7891,0.0038
0.01,1.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.0001,0.01,False,0.4159,0.0263,0.7891,0.0114
0.01,1.0,0.3,0.1,0.1,0.001,0.001,5e-05,0.0001,0.01,True,0.4323,0.0547,0.7904,0.0062
0.01,1.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.0001,0.01,False,0.4159,0.0163,0.7908,0.0166
0.01,1.0,0.3,0.1,0.1,0.01,0.0001,5e-05,0.0001,0.01,True,0.471,0.0014,0.7857,0.0066
0.01,1.0,0.3,0.1,0.1,0.01,0.001,5e-05,0.0001,0.01,False,0.4159,0.0163,0.7924,0.0047
