measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,all but not found,231.25,3648,"[0.4548, 0.5437, 0.4947, 0.4642, 0.558, 0.6116, 0.5327, 0.6152, 0.6029, 0.6184, 0.6914, 0.6592, 0.6799, 0.6959, 0.6947, 0.715, 0.6855, 0.7493, 0.7109, 0.7133, 0.7072, 0.7174, 0.7696, 0.7469, 0.7739, 0.7875, 0.7727, 0.8122, 0.8095, 0.8173, 0.827, 0.8275, 0.8524, 0.8392, 0.8497, 0.8569, 0.868, 0.8725, 0.875, 0.8863, 0.8875, 0.8965, 0.8979, 0.9027, 0.9062, 0.9078, 0.9081, 0.9167, 0.9163, 0.925, 0.9272, 0.9322, 0.9313, 0.9417, 0.9476, 0.9501, 0.9582]",[],2000
64,2,5.37,128,"[0.5684, 0.5504]",[],2001
64,4,11.0,256,"[0.6232, 0.5539, 0.5662, 0.5746]",[],2002
64,4,10.86,256,"[0.5795, 0.562, 0.6158, 0.5386]",[],2003
64,3,8.07,192,"[0.479, 0.6334, 0.59]",[],2004
64,3,8.15,192,"[0.3824, 0.5249, 0.5714]",[],2005
64,2,5.41,128,"[0.5424, 0.1518]",[],2006
64,all but not found,231.47,3648,"[0.5049, 0.4891, 0.4107, 0.548, 0.586, 0.5907, 0.5394, 0.6269, 0.5634, 0.5624, 0.616, 0.5627, 0.5012, 0.5402, 0.6056, 0.6375, 0.6311, 0.6253, 0.6181, 0.6594, 0.7287, 0.7175, 0.7343, 0.7099, 0.751, 0.7464, 0.7649, 0.7876, 0.7808, 0.7871, 0.809, 0.8174, 0.8144, 0.8396, 0.8538, 0.8508, 0.8664, 0.8689, 0.8706, 0.8785, 0.8877, 0.8851, 0.8914, 0.9027, 0.9074, 0.9067, 0.9166, 0.9221, 0.9224, 0.9293, 0.9263, 0.9287, 0.9339, 0.9415, 0.9489, 0.9523, 0.9554]",[],2007
