scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.44,64,[0.8153],[None],2000
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.44,64,[0.713],[None],2001
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,[0.7737],[None],2002
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,3,11.19,192,"[0.7897, 0.7438, 0.8066]","[None, None, None]",2003
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,3,10.98,192,"[0.7887, 0.8399, 0.8845]","[None, None, None]",2004
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,3,11.33,192,"[0.7825, 0.8218, 0.8472]","[None, None, None]",2005
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,2,7.34,128,"[0.7903, 0.8258]","[None, None]",2006
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,5,20.13,320,"[0.7619, 0.8531, 0.8673, 0.8834, 0.8776]","[None, None, None, None, None]",2007
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.6403],[None],2008
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.7809],[None],2009
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,[0.7674],[None],2010
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,1,3.49,64,[0.7981],[None],2011
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,2,7.01,128,"[0.7616, 0.8179]","[None, None]",2012
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,3,11.19,192,"[0.7818, 0.8382, 0.8439]","[None, None, None]",2013
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,2,7.23,128,"[0.7626, 0.8297]","[None, None]",2014
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,2,7.01,128,"[0.765, 0.7797]","[None, None]",2015
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,3,10.86,192,"[0.7049, 0.788, 0.8191]","[None, None, None]",2016
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,2,7.04,128,"[0.7898, 0.8082]","[None, None]",2017
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,2,7.02,128,"[0.75, 0.8194]","[None, None]",2018
False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",64,4,0,2,7.01,128,"[0.7402, 0.8348]","[None, None]",2019
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,[0.7838],[None],2000
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.678],[None],2001
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,[0.7369],[None],2002
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,7.04,128,"[0.759, 0.7774]","[None, None]",2003
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.36,64,[0.7894],[None],2004
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.7459],[None],2005
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.7257],[None],2006
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,4,15.13,256,"[0.7163, 0.7873, 0.8417, 0.8628]","[None, None, None, None]",2007
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,[0.595],[None],2008
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,7.04,128,"[0.7322, 0.7689]","[None, None]",2009
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,[0.7318],[None],2010
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,[0.759],[None],2011
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.7095],[None],2012
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,7.1,128,"[0.7537, 0.7895]","[None, None]",2013
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,3,10.88,192,"[0.758, 0.7765, 0.8177]","[None, None, None]",2014
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,3,10.87,192,"[0.7354, 0.7408, 0.8798]","[None, None, None]",2015
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,7.03,128,"[0.6881, 0.7696]","[None, None]",2016
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,[0.7751],[None],2017
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,2,7.14,128,"[0.665, 0.7724]","[None, None]",2018
False,False,0.0001,0.001,"(0.4, 0.3, 0.3)",64,4,0,1,3.59,64,[0.7107],[None],2019
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.51,64,[0.7052],[None],2000
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,[0.6411],[None],2001
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.54,64,[0.6609],[None],2002
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.55,64,[0.6945],[None],2003
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.36,64,[0.7329],[None],2004
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.6963],[None],2005
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,[0.6626],[None],2006
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.52,64,[0.6413],[None],2007
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.36,64,[0.466],[None],2008
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,[0.6797],[None],2009
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,[0.6649],[None],2010
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.6895],[None],2011
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.6066],[None],2012
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,7.08,128,"[0.7181, 0.5984]","[None, None]",2013
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.6881],[None],2014
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,3,10.99,192,"[0.6757, 0.5921, 0.5901]","[None, None, None]",2015
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,3,10.96,192,"[0.6375, 0.5199, 0.343]","[None, None, None]",2016
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,[0.7327],[None],2017
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,7.04,128,"[0.5989, 0.6187]","[None, None]",2018
False,False,0.0001,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.75,64,[0.6088],[None],2019
