encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.51,64,0,[0.7003],[None],2010
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.9,64,0,[0.7053],[None],2011
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,2,7.71,128,0,"[0.6237, 0.612]","[None, None]",2012
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,2,7.1,128,0,"[0.728, 0.653]","[None, None]",2013
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,2,7.03,128,1,"[0.7038, 0.624]","[None, None]",2014
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,3,10.99,192,0,"[0.6954, 0.5821, 0.5879]","[None, None, None]",2015
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,2,7.02,128,0,"[0.6305, 0.5321]","[None, None]",2016
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.43,64,0,[0.7391],[None],2017
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,2,7.19,128,1,"[0.6311, 0.5489]","[None, None]",2018
0.0001,0.0001,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.46,64,0,[0.6301],[None],2019
0.0001,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.49,64,0,[0.7047],[None],2010
0.0001,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.61,64,0,[0.7008],[None],2011
0.0001,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,2,7.33,128,0,"[0.6103, 0.6159]","[None, None]",2012
0.0001,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,2,7.36,128,0,"[0.7239, 0.5601]","[None, None]",2013
0.0001,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,2,8.47,128,1,"[0.7023, 0.6515]","[None, None]",2014
0.0001,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,6,27.87,384,1,"[0.6875, 0.6051, 0.5768, 0.4766, 0.4614, 0.4227]","[None, None, None, None, None, None]",2015
