encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
1e-05,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.49,64,0,[0.7004],[None],2000
1e-05,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,0,[0.5752],[None],2001
1e-05,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,1,[0.6879],[None],2002
1e-05,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,2,7.02,128,1,"[0.6567, 0.6502]","[None, None]",2003
1e-05,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,0,[0.6986],[None],2004
1e-05,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,0,[0.6355],[None],2005
1e-05,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.57,64,0,[0.6524],[None],2006
1e-05,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,0,[0.5969],[None],2007
1e-05,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,1,[0.4725],[None],2008
1e-05,0.0001,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,0,[0.6394],[None],2009
1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,0,[0.6978],[None],2000
1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,0,[0.571],[None],2001
1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,1,[0.6858],[None],2002
1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,2,7.0,128,1,"[0.6543, 0.6421]","[None, None]",2003
1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,0,[0.6965],[None],2004
1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,0,[0.6318],[None],2005
1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,0,[0.6555],[None],2006
1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,0,[0.5855],[None],2007
1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,1,[0.4765],[None],2008
1e-05,0.0001,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,0,[0.6455],[None],2009
1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,0,[0.6717],[None],2000
1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,0,[0.667],[None],2001
1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,1,[0.6109],[None],2002
1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,2,7.01,128,1,"[0.6247, 0.5796]","[None, None]",2003
1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,0,[0.7093],[None],2004
1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,0,[0.5795],[None],2005
1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.49,64,0,[0.6447],[None],2006
1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.53,64,0,[0.6641],[None],2007
1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.54,64,1,[0.5354],[None],2008
1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,3.49,64,0,[0.6007],[None],2009
1e-05,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.54,64,0,[0.6877],[None],2000
1e-05,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.57,64,0,[0.6692],[None],2001
1e-05,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.51,64,1,[0.6337],[None],2002
1e-05,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,2,7.29,128,1,"[0.6416, 0.5738]","[None, None]",2003
1e-05,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,0,[0.725],[None],2004
1e-05,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,0,[0.6079],[None],2005
1e-05,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,0,[0.6632],[None],2006
1e-05,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,0,[0.6755],[None],2007
1e-05,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,1,[0.5511],[None],2008
1e-05,1e-05,200,"(0.4, 0.3, 0.3)",64,4,0,1,3.44,64,0,[0.6332],[None],2009
1e-05,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.42,64,0,[0.6945],[None],2000
1e-05,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.49,64,0,[0.6746],[None],2001
1e-05,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,1,[0.6418],[None],2002
1e-05,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,2,7.12,128,1,"[0.6491, 0.6102]","[None, None]",2003
1e-05,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,0,[0.7324],[None],2004
1e-05,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,0,[0.6208],[None],2005
1e-05,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.36,64,0,[0.6698],[None],2006
1e-05,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,0,[0.6842],[None],2007
1e-05,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,1,[0.5645],[None],2008
1e-05,1e-05,300,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,0,[0.6429],[None],2009
