scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.13,128,"[0.0731, -0.6259]","[None, None]",2004
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,3,11.4,192,"[-0.1762, -0.7398, -1.026]","[None, None, None]",2005
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.58,64,[-0.1919],[None],2006
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,3,10.91,192,"[-0.0503, -0.9092, -1.3278]","[None, None, None]",2007
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.44,64,[-0.3718],[None],2008
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.67,128,"[-0.0464, -0.6706]","[None, None]",2009
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.61,64,[-0.1833],[None],2010
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.52,64,[-0.1538],[None],2011
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.47,128,"[-0.0992, -0.733]","[None, None]",2012
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.41,128,"[-0.1528, -0.8167]","[None, None]",2013
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.17,128,"[-0.0395, -0.6251]","[None, None]",2014
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,3,12.13,192,"[-0.0923, -0.7165, -1.0645]","[None, None, None]",2015
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,4.15,64,[-0.288],[None],2016
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.56,128,"[-0.0913, -0.6461]","[None, None]",2017
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.56,64,[-0.2353],[None],2018
False,False,0.0001,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.43,64,[-0.1386],[None],2019
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.43,64,[0.6977],[None],2000
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,[0.5826],[None],2001
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,[0.695],[None],2002
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,7.04,128,"[0.6664, 0.6943]","[None, None]",2003
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,[0.7097],[None],2004
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.57,64,[0.6643],[None],2005
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,[0.6487],[None],2006
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.6077],[None],2007
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.41,64,[0.4084],[None],2008
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.47,64,[0.6435],[None],2009
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.5,64,[0.6674],[None],2010
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,[0.653],[None],2011
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.5891],[None],2012
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,7.36,128,"[0.6902, 0.7019]","[None, None]",2013
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.55,64,[0.6797],[None],2014
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,4,15.42,256,"[0.6539, 0.6277, 0.6571, 0.6561]","[None, None, None, None]",2015
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,7.92,128,"[0.6079, 0.5808]","[None, None]",2016
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.55,64,[0.716],[None],2017
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,2,7.54,128,"[0.5947, 0.6245]","[None, None]",2018
False,False,1e-05,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.95,64,[0.5953],[None],2019
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.61,64,[0.6151],[None],2000
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,4.67,64,[0.6588],[None],2001
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.94,64,[0.5308],[None],2002
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.06,128,"[0.5791, 0.5085]","[None, None]",2003
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.15,128,"[0.6573, 0.3713]","[None, None]",2004
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.53,64,[0.5295],[None],2005
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.55,64,[0.5873],[None],2006
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.34,128,"[0.6274, 0.4005]","[None, None]",2007
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.56,64,[0.5004],[None],2008
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.55,64,[0.5273],[None],2009
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,[0.4897],[None],2010
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.4,64,[0.5822],[None],2011
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.01,128,"[0.6626, 0.469]","[None, None]",2012
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.07,128,"[0.5406, 0.4129]","[None, None]",2013
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.57,64,[0.6484],[None],2014
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.31,128,"[0.4028, 0.3391]","[None, None]",2015
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.48,64,[0.5065],[None],2016
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.5,128,"[0.7103, 0.5657]","[None, None]",2017
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,2,7.1,128,"[0.5859, 0.4496]","[None, None]",2018
False,False,1e-05,1e-05,"(0.4, 0.3, 0.3)",64,4,0,1,3.37,64,[0.5618],[None],2019
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.16,128,"[-7.0339, -7.3333]","[None, None]",2000
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,4.11,64,[-6.4007],[None],2001
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,4.2,64,[-8.3575],[None],2002
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.67,128,"[-6.3903, -7.2725]","[None, None]",2003
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.57,128,"[-7.7742, -8.4754]","[None, None]",2004
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.86,64,[-7.6078],[None],2005
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.36,128,"[-7.0618, -7.9807]","[None, None]",2006
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.39,64,[-6.6408],[None],2007
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.57,64,[-7.8668],[None],2008
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.57,128,"[-7.7264, -8.5077]","[None, None]",2009
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.07,128,"[-8.6876, -8.8926]","[None, None]",2010
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.66,64,[-7.3397],[None],2011
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.36,128,"[-6.3124, -8.4075]","[None, None]",2012
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.5,128,"[-8.3039, -8.1189]","[None, None]",2013
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.56,64,[-6.9457],[None],2014
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.35,128,"[-8.412, -8.6704]","[None, None]",2015
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.37,128,"[-6.8732, -6.7221]","[None, None]",2016
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.24,128,"[-7.0844, -8.1975]","[None, None]",2017
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.04,128,"[-6.6776, -7.9511]","[None, None]",2018
False,False,1e-05,1e-06,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[-7.2909],[None],2019
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.47,64,[0.7073],[None],2000
False,False,1e-06,0.0001,"(0.4, 0.3, 0.3)",64,4,0,1,3.38,64,[0.5621],[None],2001
