,encoder_freeze,scratch,measure_size,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_reg,lambda_pair,lambda_infonce,gamma,beta,noise_std,margin_scale,tau,tau_c,feature_predictor_lr,epochs,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed
24,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,5,320,0,23.76,"[0.5227, 0.6368, 0.6526, 0.6398, 0.6258]","[None, None, None, None, None]",2004
25,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.85,"[0.6778, 0.6917, 0.6815]","[None, None, None]",2005
26,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,1,64,0,4.06,[0.5867],[None],2006
27,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,5,320,0,23.27,"[0.4763, 0.7031, 0.703, 0.7434, 0.7356]","[None, None, None, None, None]",2007
28,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.36,"[0.6108, 0.6382]","[None, None]",2008
29,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,17.61,"[0.6542, 0.6923, 0.6482, 0.6444]","[None, None, None, None]",2009
30,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.99,"[0.5333, 0.6673, 0.6594]","[None, None, None]",2010
31,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.13,"[0.6476, 0.6836, 0.6699]","[None, None, None]",2011
32,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,9.12,"[0.6331, 0.614]","[None, None]",2012
33,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.04,"[0.5623, 0.649, 0.6225]","[None, None, None]",2013
34,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,5,320,0,22.52,"[0.5915, 0.701, 0.7123, 0.6738, 0.6887]","[None, None, None, None, None]",2014
35,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,17.73,"[0.6096, 0.7122, 0.6474, 0.6612]","[None, None, None, None]",2015
36,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.11,"[0.5922, 0.6645, 0.6977]","[None, None, None]",2016
37,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.29,"[0.5508, 0.6703, 0.6442]","[None, None, None]",2017
38,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,17.65,"[0.6067, 0.5852, 0.609, 0.6305]","[None, None, None, None]",2018
39,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.91,"[0.6064, 0.6728, 0.7077]","[None, None, None]",2019
40,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.9,"[0.5726, 0.6085, 0.6296]","[None, None, None]",2000
41,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,1,64,0,4.07,[0.5494],[None],2001
42,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.37,"[0.6333, 0.612]","[None, None]",2002
43,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.86,"[0.6144, 0.699, 0.6715]","[None, None, None]",2003
44,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,5,320,0,22.61,"[0.5164, 0.6555, 0.6613, 0.6736, 0.7045]","[None, None, None, None, None]",2004
45,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.63,"[0.6715, 0.6903]","[None, None]",2005
46,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.38,"[0.5842, 0.6816]","[None, None]",2006
47,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,17.6,"[0.4532, 0.6896, 0.7025, 0.7067]","[None, None, None, None]",2007
48,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.42,"[0.6098, 0.6032]","[None, None]",2008
49,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.46,"[0.6476, 0.6989]","[None, None]",2009
50,False,False,64,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.18,"[0.5314, 0.6519, 0.6686]","[None, None, None]",2010
