measure_size,encoder_freeze,scratch,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_pair,margin_scale,lambda_smooth,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,seed_n,sampling_seed
64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,2.6,166.4,0.0,9.068999999999999,"[0.6052, 0.6354, 0.6131]","[None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
64,False,False,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,2.7,172.8,0.0,9.387,"[0.6052, 0.6311, 0.6198, 0.6371]","[None, None, None, None]",20,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]"
