,measure_size,encoder_freeze,scratch,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_pair,margin_scale,lambda_smooth,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed
15,64,False,False,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,3,192,0,10.48,"[0.6289, 0.6256, 0.5612]","[None, None, None]",2015
16,64,False,False,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,3,192,0,10.71,"[0.6079, 0.6573, 0.6646]","[None, None, None]",2016
17,64,False,False,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,2,128,0,6.9,"[0.5212, 0.6688]","[None, None]",2017
18,64,False,False,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,3,192,0,10.22,"[0.5903, 0.5875, 0.59]","[None, None, None]",2018
19,64,False,False,"(0.6, 0.1, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,3,192,0,10.25,"[0.6081, 0.6449, 0.6349]","[None, None, None]",2019
20,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,3,192,0,10.65,"[0.6052, 0.6354, 0.6131]","[None, None, None]",2000
21,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,1,64,0,3.37,[0.5482],[None],2001
22,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,2,128,0,6.95,"[0.6397, 0.5918]","[None, None]",2002
23,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,2,128,0,6.7,"[0.6177, 0.6286]","[None, None]",2003
24,64,False,False,"(0.5, 0.2, 0.3)",64,4,0,20,1e-05,0.0001,100,3.0,0.3,0.01,4,256,0,14.05,"[0.5467, 0.6085, 0.5714, 0.5734]","[None, None, None, None]",2004
