,measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,sampling_seed,rank_warmup_epochs,grad_num,rand_num,lambda_pair,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2
0,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",2000,0,4,0,3.0,2,7.15,128,0,"[0.7264, 0.698]","[None, None]"
1,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",2001,0,4,0,3.0,1,3.39,64,0,[0.6767],[None]
2,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",2002,0,4,0,3.0,1,3.32,64,0,[0.7302],[None]
3,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",2003,0,4,0,3.0,5,18.31,320,0,"[0.7044, 0.704, 0.7523, 0.7754, 0.7606]","[None, None, None, None, None]"
4,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",2004,0,4,0,3.0,3,10.32,192,0,"[0.6987, 0.7471, 0.7721]","[None, None, None]"
5,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",2005,0,4,0,3.0,2,6.8,128,0,"[0.75, 0.7793]","[None, None]"
6,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",2006,0,4,0,3.0,1,3.24,64,0,[0.729],[None]
7,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",2007,0,4,0,3.0,4,14.16,256,0,"[0.7112, 0.7186, 0.7384, 0.7623]","[None, None, None, None]"
8,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",2008,0,4,0,3.0,4,15.38,256,0,"[0.7074, 0.7317, 0.7675, 0.774]","[None, None, None, None]"
9,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",2009,0,4,0,3.0,5,19.48,320,0,"[0.7492, 0.7221, 0.7455, 0.7173, 0.7224]","[None, None, None, None, None]"
10,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",2010,0,4,0,3.0,3,10.49,192,0,"[0.6649, 0.7146, 0.7369]","[None, None, None]"
11,64,False,False,0.0001,0.01,"(0.4, 0.3, 0.3)",2011,0,4,0,3.0,2,6.73,128,0,"[0.7146, 0.7688]","[None, None]"
