,measure_size,encoder_freeze,scratch,weights,uncertainty_topk,grad_num,rand_num,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_pair,margin_scale,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed,lambda_infonce,tau,tau_c,beta,gamma,noise_std,lambda_reg,feature_predictor_lr,epochs
26,64,False,False,"(0.5, 0.2, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,6.64,"[0.5933, 0.6633]","[None, None]",2006,0.0,0.0,,0.01,0.01,0.001,,,
27,64,False,False,"(0.5, 0.2, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,3,192,0.0,10.34,"[0.5085, 0.7016, 0.6748]","[None, None, None]",2007,0.0,0.0,,0.01,0.01,0.001,,,
28,64,False,False,"(0.5, 0.2, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,6.92,"[0.6001, 0.6333]","[None, None]",2008,0.0,0.0,,0.01,0.01,0.001,,,
29,64,False,False,"(0.5, 0.2, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,6.88,"[0.6655, 0.6698]","[None, None]",2009,0.0,0.0,,0.01,0.01,0.001,,,
30,64,False,False,"(0.5, 0.2, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,3,192,0.0,10.35,"[0.5331, 0.642, 0.6445]","[None, None, None]",2010,0.0,0.0,,0.01,0.01,0.001,,,
31,64,False,False,"(0.5, 0.2, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,5,320,0.0,19.12,"[0.6454, 0.637, 0.6352, 0.6724, 0.6664]","[None, None, None, None, None]",2011,0.0,0.0,,0.01,0.01,0.001,,,
32,64,False,False,"(0.5, 0.2, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,3,192,0.0,10.52,"[0.6272, 0.5954, 0.6319]","[None, None, None]",2012,0.0,0.0,,0.01,0.01,0.001,,,
33,64,False,False,"(0.5, 0.2, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,6.9,"[0.5578, 0.5893]","[None, None]",2013,0.0,0.0,,0.01,0.01,0.001,,,
34,64,False,False,"(0.5, 0.2, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,3,192,0.0,10.61,"[0.5864, 0.6811, 0.6551]","[None, None, None]",2014,0.0,0.0,,0.01,0.01,0.001,,,
35,64,False,False,"(0.5, 0.2, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,3,192,0.0,10.65,"[0.6289, 0.6472, 0.6313]","[None, None, None]",2015,0.0,0.0,,0.01,0.01,0.001,,,
36,64,False,False,"(0.5, 0.2, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,3,192,0.0,10.28,"[0.6079, 0.6536, 0.6552]","[None, None, None]",2016,0.0,0.0,,0.01,0.01,0.001,,,
37,64,False,False,"(0.5, 0.2, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,6.81,"[0.5212, 0.6701]","[None, None]",2017,0.0,0.0,,0.01,0.01,0.001,,,
38,64,False,False,"(0.5, 0.2, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,3,192,0.0,10.27,"[0.5903, 0.58, 0.572]","[None, None, None]",2018,0.0,0.0,,0.01,0.01,0.001,,,
39,64,False,False,"(0.5, 0.2, 0.3)",64.0,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,6.69,"[0.6081, 0.6669]","[None, None]",2019,0.0,0.0,,0.01,0.01,0.001,,,
40,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,,0.01,0,3.0,0.3,2,128,,6.95,"[0.2827, 0.2878]","[None, None]",2000,0.0,0.0,,0.01,0.01,0.001,,,
41,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,,0.01,0,3.0,0.3,1,64,,3.36,[0.1374],[None],2001,0.0,0.0,,0.01,0.01,0.001,,,
42,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,,0.01,0,3.0,0.3,1,64,,3.34,[0.402],[None],2002,0.0,0.0,,0.01,0.01,0.001,,,
43,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,,0.01,0,3.0,0.3,4,256,,14.95,"[0.306, 0.3124, 0.0328, 0.1088]","[None, None, None, None]",2003,0.0,0.0,,0.01,0.01,0.001,,,
44,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,,0.01,0,3.0,0.3,4,256,,14.91,"[0.3466, 0.3137, 0.1426, 0.1832]","[None, None, None, None]",2004,0.0,0.0,,0.01,0.01,0.001,,,
45,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,,0.01,0,3.0,0.3,2,128,,7.06,"[0.2511, 0.2118]","[None, None]",2005,0.0,0.0,,0.01,0.01,0.001,,,
46,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,,0.01,0,3.0,0.3,1,64,,3.5,[0.1611],[None],2006,0.0,0.0,,0.01,0.01,0.001,,,
47,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,,0.01,0,3.0,0.3,4,256,,15.59,"[0.4211, 0.3316, 0.2656, 0.1415]","[None, None, None, None]",2007,0.0,0.0,,0.01,0.01,0.001,,,
48,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,,0.01,0,3.0,0.3,2,128,,7.0,"[0.2704, 0.3163]","[None, None]",2008,0.0,0.0,,0.01,0.01,0.001,,,
49,64,False,False,"(0.4, 0.3, 0.3)",64.0,4,0,,0.01,0,3.0,0.3,2,128,,6.95,"[0.4444, 0.3661]","[None, None]",2009,0.0,0.0,,0.01,0.01,0.001,,,
50,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,3,192,0.0,11.03,"[0.6052, 0.6451, 0.6276]","[None, None, None]",2000,0.0,0.0,,0.01,0.01,0.001,,,
51,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,1,64,0.0,3.29,[0.5482],[None],2001,0.0,0.0,,0.01,0.01,0.001,,,
52,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,6.99,"[0.6397, 0.6558]","[None, None]",2002,0.0,0.0,,0.01,0.01,0.001,,,
53,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,6.92,"[0.6177, 0.6403]","[None, None]",2003,0.0,0.0,,0.01,0.01,0.001,,,
54,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,3,192,0.0,10.5,"[0.5467, 0.6061, 0.6163]","[None, None, None]",2004,0.0,0.0,,0.01,0.01,0.001,,,
55,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,2,128,0.0,6.76,"[0.6795, 0.668]","[None, None]",2005,0.0,0.0,,0.01,0.01,0.001,,,
56,64,False,False,"(0.4, 0.3, 0.3)",,4,0,1e-05,0.0001,100,3.0,0.3,1,64,0.0,3.27,[0.5933],[None],2006,0.0,0.0,,0.01,0.01,0.001,,,
