measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,4,24.23,256,0,"[0.445, 0.3384, 0.3522, 0.2901]","[None, None, None, None]",2000
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,1,5.53,64,0,[0.4691],[None],2001
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,3,17.18,192,0,"[0.2342, -0.0942, -0.1636]","[None, None, None]",2002
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,2,11.43,128,0,"[-0.2433, -0.1665]","[None, None]",2003
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,3,17.37,192,0,"[0.5211, -0.1667, -0.1364]","[None, None, None]",2004
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,3,17.43,192,0,"[0.177, -0.2587, 0.1445]","[None, None, None]",2005
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,3,17.33,192,0,"[0.5709, 0.0254, 0.2078]","[None, None, None]",2006
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,5,30.04,320,0,"[0.5125, 0.0672, 0.2185, 0.2943, 0.3293]","[None, None, None, None, None]",2007
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,3,16.1,192,0,"[-0.2176, -1.0507, -0.0849]","[None, None, None]",2008
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,2,10.45,128,0,"[0.0441, 0.4359]","[None, None]",2009
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,4,23.0,256,0,"[0.2682, 0.1006, 0.3183, 0.2097]","[None, None, None, None]",2010
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,4,22.94,256,0,"[0.4197, 0.2981, 0.3227, 0.2758]","[None, None, None, None]",2011
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,4,22.84,256,0,"[0.2907, -0.1267, -0.0524, 0.0556]","[None, None, None, None]",2012
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,3,16.31,192,0,"[0.1608, -0.0738, 0.257]","[None, None, None]",2013
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,3,16.16,192,0,"[0.4062, -0.2495, 0.1089]","[None, None, None]",2014
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,4,22.14,256,0,"[0.421, -0.4449, -0.349, -0.0262]","[None, None, None, None]",2015
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,4,22.58,256,0,"[0.2534, -0.5153, -0.7144, -0.3483]","[None, None, None, None]",2016
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,2,11.52,128,0,"[0.5285, 0.0422]","[None, None]",2017
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,3,17.31,192,0,"[0.2518, -0.3715, 0.0496]","[None, None, None]",2018
64,False,False,1e-05,1e-05,100,"(0.4, 0.3, 0.3)",64,4,0,3,16.7,192,0,"[0.4388, 0.252, 0.2255]","[None, None, None]",2019
