measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,2,4.17,128,"[0.4622, 0.408]",[],2000
64,3,5.15,192,"[0.5336, 0.644, 0.6414]",[],2001
64,6,8.31,384,"[0.6079, 0.613, 0.6644, 0.6515, 0.5452, 0.6045]",[],2002
64,3,5.06,192,"[0.5886, 0.5881, 0.5772]",[],2003
64,2,4.1,128,"[0.4792, 0.5548]",[],2004
64,3,5.12,192,"[0.3938, 0.4872, 0.4992]",[],2005
64,4,6.15,256,"[0.5704, 0.329, 0.5598, 0.4819]",[],2006
64,3,5.05,192,"[0.4698, 0.4725, 0.4999]",[],2007
