measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
48,2,3.52,96,"[0.4565, 0.3573]",[],2000
48,2,3.47,96,"[0.3968, 0.5423]",[],2001
48,2,3.47,96,"[0.2873, 0.4862]",[],2002
48,1,3.03,48,[0.3715],[],2003
48,2,3.5,96,"[0.5154, 0.5084]",[],2004
48,5,5.76,240,"[0.5106, 0.4476, 0.5581, 0.5959, 0.6117]",[],2005
48,3,4.15,144,"[0.4751, 0.5172, 0.5764]",[],2006
48,6,6.89,288,"[0.348, 0.4511, 0.5639, 0.5975, 0.5997, 0.6362]",[],2007
48,4,4.86,192,"[0.4984, 0.6072, 0.5133, 0.6082]",[],2008
48,4,5.12,192,"[0.4235, 0.4629, 0.488, 0.466]",[],2009
48,8,9.31,384,"[0.5227, 0.268, 0.4153, 0.4832, 0.509, 0.4775, 0.5386, 0.6478]",[],2010
48,2,3.49,96,"[0.5156, 0.4783]",[],2011
48,2,3.43,96,"[0.4431, 0.3184]",[],2012
48,3,4.12,144,"[0.4154, 0.5907, 0.4746]",[],2013
48,3,4.18,144,"[0.4758, 0.4257, 0.4181]",[],2014
48,5,5.83,240,"[0.5615, 0.5253, 0.4998, 0.538, 0.6025]",[],2015
48,3,4.13,144,"[-1.0284, 0.444, 0.5725]",[],2016
48,3,4.11,144,"[0.3455, 0.5609, 0.5484]",[],2017
48,2,3.53,96,"[0.459, 0.4786]",[],2018
48,4,4.92,192,"[0.3878, 0.485, 0.5964, 0.5714]",[],2019
