measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,2,3.04,128,"[0.4404, 0.5206]",[],2000
64,2,3.0,128,"[0.5515, 0.5773]",[],2001
64,4,3.81,256,"[0.6083, 0.6084, 0.6144, 0.5693]",[],2002
64,2,2.96,128,"[0.5985, 0.5208]",[],2003
64,3,3.36,192,"[0.4736, 0.5066, 0.5929]",[],2004
64,3,3.49,192,"[0.3693, 0.4844, 0.5341]",[],2005
64,1,2.68,64,[0.5456],[],2006
64,12,8.57,768,"[0.491, 0.4168, 0.4913, 0.5221, 0.5653, 0.6157, 0.6488, 0.6235, 0.6245, 0.5647, 0.6317, 0.6954]",[],2007
64,3,3.34,192,"[0.4976, 0.6093, 0.5855]",[],2008
64,4,3.86,256,"[0.4013, 0.6096, 0.6454, 0.5984]",[],2009
