measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
48,3,4.12,144,"[0.5003, 0.5136, 0.5177]",[],2000
48,1,2.97,48,[0.4817],[],2001
48,4,4.96,192,"[0.2632, 0.3758, 0.5774, 0.455]",[],2002
48,1,2.94,48,[0.4036],[],2003
48,1,2.96,48,[0.5089],[],2004
48,2,3.43,96,"[0.5004, 0.5246]",[],2005
48,4,4.93,192,"[0.4804, 0.5298, 0.532, 0.6028]",[],2006
48,4,4.95,192,"[0.3314, 0.5603, 0.514, 0.58]",[],2007
48,2,3.42,96,"[0.5122, 0.61]",[],2008
48,3,4.16,144,"[0.3613, 0.4991, 0.6226]",[],2009
48,3,4.08,144,"[0.4854, 0.4916, 0.5348]",[],2010
48,7,7.99,336,"[0.5139, 0.5217, 0.4978, 0.5641, 0.5594, 0.5404, 0.5067]",[],2011
48,2,3.5,96,"[0.456, 0.3382]",[],2012
48,4,4.84,192,"[0.4157, 0.6047, 0.5656, 0.6517]",[],2013
48,4,4.97,192,"[0.4857, 0.423, 0.379, 0.4957]",[],2014
48,4,4.94,192,"[0.5169, 0.3863, 0.5767, 0.5144]",[],2015
48,4,4.95,192,"[-1.0504, 0.4052, 0.6136, 0.5095]",[],2016
48,2,3.51,96,"[0.365, 0.4843]",[],2017
48,2,3.6,96,"[0.4747, 0.5435]",[],2018
48,2,3.43,96,"[0.3902, 0.3845]",[],2019
