measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,2,3.49,128,"[0.45, 0.518]",[],2000
64,3,4.14,192,"[0.5136, 0.6011, 0.572]",[],2001
64,2,3.55,128,"[0.616, 0.6358]",[],2002
64,2,3.47,128,"[0.5947, 0.5248]",[],2003
64,5,6.08,320,"[0.5023, 0.5211, 0.5672, 0.5625, 0.5785]",[],2004
64,3,4.15,192,"[0.3583, 0.2823, 0.4395]",[],2005
64,1,3.02,64,[0.5476],[],2006
64,2,3.55,128,"[0.4618, 0.42]",[],2007
64,3,4.11,192,"[0.4843, 0.639, 0.6021]",[],2008
64,5,6.06,320,"[0.3816, 0.5391, 0.5858, 0.6648, 0.6203]",[],2009
64,1,2.93,64,[0.3783],[],2010
64,4,5.08,256,"[0.5703, 0.4396, 0.6366, 0.5977]",[],2011
64,3,4.2,192,"[0.5742, 0.4296, 0.4928]",[],2012
64,4,4.97,256,"[0.4197, 0.3316, 0.5481, 0.5772]",[],2013
64,3,4.25,192,"[0.392, 0.5386, 0.5717]",[],2014
64,5,6.13,320,"[0.4165, 0.6136, 0.6599, 0.5949, 0.6903]",[],2015
64,3,4.26,192,"[0.5111, 0.5712, 0.5665]",[],2016
64,5,6.24,320,"[0.533, 0.5413, 0.6018, 0.6273, 0.669]",[],2017
64,3,4.25,192,"[0.4888, 0.6108, 0.5838]",[],2018
64,4,5.06,256,"[0.5346, 0.5091, 0.5693, 0.5857]",[],2019
