measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,2,3.14,128,"[0.4524, 0.5037]",[],2000
64,3,3.58,192,"[0.5629, 0.5686, 0.5451]",[],2001
64,1,2.77,64,[0.6057],[],2002
64,3,3.51,192,"[0.5725, 0.5413, 0.5843]",[],2003
64,3,3.53,192,"[0.4354, 0.6018, 0.5897]",[],2004
64,2,3.17,128,"[0.4021, 0.4879]",[],2005
64,4,4.05,256,"[0.5908, 0.3183, 0.5905, 0.431]",[],2006
64,2,3.1,128,"[0.4897, 0.4682]",[],2007
64,2,3.04,128,"[0.5347, 0.6115]",[],2008
64,4,3.96,256,"[0.3562, 0.5787, 0.6483, 0.6412]",[],2009
