measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,2,3.47,128,"[0.46, 0.4931]",[],2000
64,2,3.56,128,"[0.544, 0.5308]",[],2001
64,3,4.17,192,"[0.6085, 0.6182, 0.6514]",[],2002
64,4,5.18,256,"[0.6113, 0.4267, 0.4808, 0.5853]",[],2003
64,2,3.52,128,"[0.4697, 0.5823]",[],2004
64,3,4.34,192,"[0.4024, 0.4664, 0.5336]",[],2005
64,1,2.97,64,[0.5383],[],2006
64,12,18.89,768,"[0.4902, 0.2457, 0.466, 0.437, 0.5562, 0.5283, 0.6021, 0.6802, 0.6419, 0.6477, 0.679, 0.6714]",[],2007
64,3,4.17,192,"[0.5365, 0.6331, 0.5907]",[],2008
64,2,3.53,128,"[0.3444, 0.6398]",[],2009
64,2,3.47,128,"[0.3157, 0.5793]",[],2010
64,4,5.29,256,"[0.5707, 0.4798, 0.5334, 0.5967]",[],2011
64,2,3.52,128,"[0.5848, 0.5551]",[],2012
64,4,5.11,256,"[0.3748, 0.3292, 0.4591, 0.5155]",[],2013
64,6,7.47,384,"[0.5049, 0.3832, 0.4193, 0.4431, 0.5537, 0.5716]",[],2014
64,3,4.12,192,"[0.404, 0.5848, 0.6582]",[],2015
64,3,4.26,192,"[0.4961, 0.453, 0.5585]",[],2016
64,2,3.46,128,"[0.547, 0.5545]",[],2017
64,2,3.53,128,"[0.4936, 0.6265]",[],2018
64,9,12.37,576,"[0.5159, 0.4776, 0.635, 0.5977, 0.5502, 0.5602, 0.4997, 0.556, 0.4991]",[],2019
