measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,2,11.46,128,"[0.4525, 0.5614]","[0.7973, 0.818]",2000
64,3,17.26,192,"[0.5611, 0.5315, 0.5355]","[0.8151, 0.7915, 0.7747]",2001
64,5,29.0,320,"[0.6069, 0.4681, 0.3949, 0.6317, 0.598]","[0.8205, 0.7913, 0.7684, 0.8123, 0.8045]",2002
64,3,17.21,192,"[0.5913, 0.4844, 0.5807]","[0.8361, 0.8207, 0.8299]",2003
64,3,17.23,192,"[0.4963, 0.6018, 0.6103]","[0.8121, 0.8057, 0.794]",2004
64,3,17.36,192,"[0.3929, 0.4954, 0.4341]","[0.7996, 0.7821, 0.7614]",2005
64,1,5.78,64,[0.5365],[0.7914],2006
64,2,11.5,128,"[0.5174, 0.4454]","[0.8033, 0.773]",2007
