measure_size,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,2,3.05,128,"[0.4535, 0.4335]",[],2000
64,3,3.36,192,"[0.5179, 0.5686, 0.6163]",[],2001
64,1,2.86,64,[0.604],[],2002
64,2,2.97,128,"[0.5864, 0.5387]",[],2003
64,4,3.73,256,"[0.4481, 0.5834, 0.5823, 0.5018]",[],2004
64,6,4.65,384,"[0.3843, 0.4539, 0.4581, 0.5819, 0.5179, 0.5299]",[],2005
64,3,3.33,192,"[0.5781, 0.6404, 0.5997]",[],2006
64,2,3.01,128,"[0.484, 0.5116]",[],2007
